,hypothesis,premis,label,category
163,Some technical editor said churches consists of pews., The technical editor said churches are composed of pews.,True,composition
164,Some ticket agent said schools consists of classrooms., The ticket agent said schools are composed of classrooms.,True,composition
165,Some ticket agent said coats consists of zippers., The ticket agent said coats are composed of zippers.,True,composition
166,Some ticket inspector said artworks consists of paints., The ticket inspector said artworks are composed of paints.,True,composition
167,Some tiler said cities consists of neighborhoods., The tiler said cities are composed of neighborhoods.,True,composition
168,Some timber inspector said pens consists of ink., The timber inspector said pens are composed of ink.,True,composition
169,Some trainee manager said domains consists of orders., The trainee manager said domains are composed of orders.,True,composition
170,Some training co-ordinator said cars consists of hubcaps., The training co-ordinator said cars are composed of hubcaps.,True,composition
171,Some transport consultant said homes consists of families., The transport consultant said homes are composed of families.,True,composition
172,Some transport planner said cities consists of neighborhoods., The transport planner said cities are composed of neighborhoods.,True,composition
173,Some travel courier said churches consists of pews., The travel courier said churches are composed of pews.,True,composition
174,Some trinity house pilot said desks consists of utensils., The trinity house pilot said desks are composed of utensils.,True,composition
175,Some tug skipper said desks consists of utensils., The tug skipper said desks are composed of utensils.,True,composition
176,Some undertaker said computer consists of processor., The undertaker said computer are composed of processor.,True,composition
177,Some valuer said cars consists of wheels., The valuer said cars are composed of wheels.,True,composition
178,Some voluntary worker said decks consists of cards., The voluntary worker said decks are composed of cards.,True,composition
179,Some warehouseman said churches consists of pews., The warehouseman said churches are composed of pews.,True,composition
180,Some warehousewoman said gardens consists of plants., The warehousewoman said gardens are composed of plants.,True,composition
181,Some windscreen fitter said churches consists of pews., The windscreen fitter said churches are composed of pews.,True,composition
182,Some works manager said desks consists of utensils., The works manager said desks are composed of utensils.,True,composition
183,Some antelope found drawers in desks., drawers were found in desks by the antelope.,True,composition
184,Some boar found instruments in songs., instruments were found in songs by the boar.,True,composition
185,Some dugong found customers in hotels., customers were found in hotels by the dugong.,True,composition
186,Some eel found words in books., words were found in books by the eel.,True,composition
187,Some eland found species in domains., species were found in domains by the eland.,True,composition
188,Some elephant found animals in zoos., animals were found in zoos by the elephant.,True,composition
189,Some elephant found muscisians in songs., muscisians were found in songs by the elephant.,True,composition
190,Some goat found molecules in ponds., molecules were found in ponds by the goat.,True,composition
191,Some guanaco found chemicals in artworks., chemicals were found in artworks by the guanaco.,True,composition
192,Some hare found people in cities., people were found in cities by the hare.,True,composition
193,Some hawk found students in schools., students were found in schools by the hawk.,True,composition
194,Some heron found customers in hotels., customers were found in hotels by the heron.,True,composition
195,Some hummingbird found chains in parks., chains were found in parks by the hummingbird.,True,composition
196,Some jackal found pages in books., pages were found in books by the jackal.,True,composition
197,Some kingfisher found beds in hotels., beds were found in hotels by the kingfisher.,True,composition
198,Some louse found cards in decks., cards were found in decks by the louse.,True,composition
199,Some mole found species in domains., species were found in domains by the mole.,True,composition
200,Some okapi found leafs in forests., leafs were found in forests by the okapi.,True,composition
201,Some opossum found neighborhoods in cities., neighborhoods were found in cities by the opossum.,True,composition
202,Some penguin found bands in songs., bands were found in songs by the penguin.,True,composition
203,Some raven found paints in artworks., paints were found in artworks by the raven.,True,composition
204,Some reindeer found silicon in computer., silicon were found in computer by the reindeer.,True,composition
205,Some seal found rooms in hotels., rooms were found in hotels by the seal.,True,composition
206,Some trout found leafs in forests., leafs were found in forests by the trout.,True,composition
207,Some trout found water in ponds., water were found in ponds by the trout.,True,composition
208,Some wasp found pages in books., pages were found in books by the wasp.,True,composition
209,Some weasel found instruments in songs., instruments were found in songs by the weasel.,True,composition
210,Some woodpecker found plants in gardens., plants were found in gardens by the woodpecker.,True,composition
211,Some worm found bones in stores., bones were found in stores by the worm.,True,composition
212,Some accounts clerk said schools are made of classrooms., The accounts clerk said classrooms are used to make schools.,True,composition
213,Some administration clerk said drums are made of snares., The administration clerk said snares are used to make drums.,True,composition
214,Some administrator said cars are made of wheels., The administrator said wheels are used to make cars.,True,composition
215,Some aerobic instructor said books are made of sentences., The aerobic instructor said sentences are used to make books.,True,composition
216,Some aeronautical engineer said songs are made of instruments., The aeronautical engineer said instruments are used to make songs.,True,composition
217,Some airport manager said hospitals are made of beds., The airport manager said beds are used to make hospitals.,True,composition
218,Some anaesthetist said cities are made of apartments., The anaesthetist said apartments are used to make cities.,True,composition
219,Some animal breeder said books are made of words., The animal breeder said words are used to make books.,True,composition
220,Some archaeologist said domains are made of orders., The archaeologist said orders are used to make domains.,True,composition
221,Some assistant said homes are made of families., The assistant said families are used to make homes.,True,composition
222,Some auctioneer said songs are made of instruments., The auctioneer said instruments are used to make songs.,True,composition
223,Some audit manager said domains are made of classes., The audit manager said classes are used to make domains.,True,composition
224,Some blind assembler said songs are made of instruments., The blind assembler said instruments are used to make songs.,True,composition
225,Some building inspector said artworks are made of paints., The building inspector said paints are used to make artworks.,True,composition
226,Some building surveyor said forests are made of leafs., The building surveyor said leafs are used to make forests.,True,composition
227,Some bursar said books are made of pages., The bursar said pages are used to make books.,True,composition
228,Some car delivery driver said books are made of pages., The car delivery driver said pages are used to make books.,True,composition
229,Some car salesman said desks are made of utensils., The car salesman said utensils are used to make desks.,True,composition
230,Some care manager said decks are made of suits., The care manager said suits are used to make decks.,True,composition
231,Some chandler said hotels are made of beds., The chandler said beds are used to make hotels.,True,composition
232,Some chaplain said forests are made of leafs., The chaplain said leafs are used to make forests.,True,composition
233,Some chartered said hospitals are made of patients., The chartered said patients are used to make hospitals.,True,composition
234,Some childminder said decks are made of suits., The childminder said suits are used to make decks.,True,composition
235,Some editor said ponds are made of water., The editor said water are used to make ponds.,True,composition
236,Some employment said ponds are made of molecules., The employment said molecules are used to make ponds.,True,composition
237,Some engineer said books are made of pages., The engineer said pages are used to make books.,True,composition
238,Some fruiterer said desks are made of utensils., The fruiterer said utensils are used to make desks.,True,composition
239,Some gamekeeper said homes are made of children., The gamekeeper said children are used to make homes.,True,composition
240,Some gamekeeper said beaches are made of sand., The gamekeeper said sand are used to make beaches.,True,composition
241,Some garage attendant said gardens are made of plants., The garage attendant said plants are used to make gardens.,True,composition
242,Some golf club professional said forests are made of leafs., The golf club professional said leafs are used to make forests.,True,composition
243,Some golfer said computer are made of processor., The golfer said processor are used to make computer.,True,composition
244,Some homeworker said domains are made of classes., The homeworker said classes are used to make domains.,True,composition
245,Some hosiery worker said domains are made of orders., The hosiery worker said orders are used to make domains.,True,composition
246,Some hotel worker said drums are made of snares., The hotel worker said snares are used to make drums.,True,composition
247,Some housewife said desks are made of drawers., The housewife said drawers are used to make desks.,True,composition
248,Some housing assistant said stores are made of bones., The housing assistant said bones are used to make stores.,True,composition
249,Some housing supervisor said books are made of sentences., The housing supervisor said sentences are used to make books.,True,composition
250,Some it consultant said books are made of paragraphs., The it consultant said paragraphs are used to make books.,True,composition
251,Some it consultant said songs are made of muscisians., The it consultant said muscisians are used to make songs.,True,composition
252,Some importer said hotels are made of rooms., The importer said rooms are used to make hotels.,True,composition
253,Some instructor said stores are made of employees., The instructor said employees are used to make stores.,True,composition
254,Some insurance broker said domains are made of kingdoms., The insurance broker said kingdoms are used to make domains.,True,composition
255,Some interior decorator said computer are made of silicon., The interior decorator said silicon are used to make computer.,True,composition
256,Some investment advisor said homes are made of families., The investment advisor said families are used to make homes.,True,composition
257,Some janitor said drums are made of heads., The janitor said heads are used to make drums.,True,composition
258,Some journalist said hospitals are made of beds., The journalist said beds are used to make hospitals.,True,composition
259,Some knitter said hospitals are made of beds., The knitter said beds are used to make hospitals.,True,composition
260,Some landlady said songs are made of bands., The landlady said bands are used to make songs.,True,composition
261,Some legal executive said schools are made of students., The legal executive said students are used to make schools.,True,composition
262,Some lighterman said domains are made of orders., The lighterman said orders are used to make domains.,True,composition
263,Some lighterman said forests are made of trees., The lighterman said trees are used to make forests.,True,composition
264,Some locksmith said teapots are made of tea., The locksmith said tea are used to make teapots.,True,composition
265,Some machine minder said cities are made of neighborhoods., The machine minder said neighborhoods are used to make cities.,True,composition
266,Some machine tool said churches are made of pews., The machine tool said pews are used to make churches.,True,composition
267,Some marine engineer said hotels are made of rooms., The marine engineer said rooms are used to make hotels.,True,composition
268,Some market gardener said hotels are made of beds., The market gardener said beds are used to make hotels.,True,composition
269,Some marquee erector said cities are made of neighborhoods., The marquee erector said neighborhoods are used to make cities.,True,composition
270,Some medical assistant said artworks are made of chemicals., The medical assistant said chemicals are used to make artworks.,True,composition
271,Some medical officer said books are made of letters., The medical officer said letters are used to make books.,True,composition
272,Some medical technician said drums are made of heads., The medical technician said heads are used to make drums.,True,composition
273,Some metal polisher said domains are made of classes., The metal polisher said classes are used to make domains.,True,composition
274,Some metal polisher said hotels are made of beds., The metal polisher said beds are used to make hotels.,True,composition
275,Some mill worker said domains are made of kingdoms., The mill worker said kingdoms are used to make domains.,True,composition
276,Some mill worker said beaches are made of sand., The mill worker said sand are used to make beaches.,True,composition
277,Some motor engineer said homes are made of families., The motor engineer said families are used to make homes.,True,composition
278,Some museum attendant said desks are made of drawers., The museum attendant said drawers are used to make desks.,True,composition
279,Some neurologist said stores are made of employees., The neurologist said employees are used to make stores.,True,composition
280,Some nursery nurse said books are made of letters., The nursery nurse said letters are used to make books.,True,composition
281,Some nutritionist said books are made of paragraphs., The nutritionist said paragraphs are used to make books.,True,composition
282,Some oil rig crew said books are made of paragraphs., The oil rig crew said paragraphs are used to make books.,True,composition
283,Some orthoptist said ponds are made of molecules., The orthoptist said molecules are used to make ponds.,True,composition
284,Some packaging said drums are made of snares., The packaging said snares are used to make drums.,True,composition
285,Some painter said zoos are made of animals., The painter said animals are used to make zoos.,True,composition
286,Some pallet maker said computer are made of processor., The pallet maker said processor are used to make computer.,True,composition
287,Some pattern maker said pens are made of ink., The pattern maker said ink are used to make pens.,True,composition
288,Some payroll supervisor said ponds are made of water., The payroll supervisor said water are used to make ponds.,True,composition
289,Some pest controller said desks are made of drawers., The pest controller said drawers are used to make desks.,True,composition
290,Some physicist said domains are made of genera., The physicist said genera are used to make domains.,True,composition
291,Some physiotherapist said drums are made of heads., The physiotherapist said heads are used to make drums.,True,composition
292,Some picture editor said cities are made of neighborhoods., The picture editor said neighborhoods are used to make cities.,True,composition
293,Some pipe inspector said drums are made of snares., The pipe inspector said snares are used to make drums.,True,composition
294,Some plant driver said hospitals are made of beds., The plant driver said beds are used to make hospitals.,True,composition
295,Some playgroup leader said domains are made of species., The playgroup leader said species are used to make domains.,True,composition
296,Some post sorter said domains are made of kingdoms., The post sorter said kingdoms are used to make domains.,True,composition
297,Some postmaster said desks are made of utensils., The postmaster said utensils are used to make desks.,True,composition
298,Some press operator said ponds are made of water., The press operator said water are used to make ponds.,True,composition
299,Some press setter said computer are made of silicon., The press setter said silicon are used to make computer.,True,composition
300,Some production planner said cities are made of apartments., The production planner said apartments are used to make cities.,True,composition
301,Some professional racing said cities are made of people., The professional racing said people are used to make cities.,True,composition
302,Some project co-ordinator said artworks are made of chemicals., The project co-ordinator said chemicals are used to make artworks.,True,composition
303,Some projectionist said hotels are made of customers., The projectionist said customers are used to make hotels.,True,composition
304,Some purchase clerk said decks are made of suits., The purchase clerk said suits are used to make decks.,True,composition
305,Some purchase ledger clerk said parks are made of swings., The purchase ledger clerk said swings are used to make parks.,True,composition
306,Some purchasing assistant said cars are made of hubcaps., The purchasing assistant said hubcaps are used to make cars.,True,composition
307,Some radio director said songs are made of bands., The radio director said bands are used to make songs.,True,composition
308,Some radio director said songs are made of instruments., The radio director said instruments are used to make songs.,True,composition
309,Some radio engineer said stores are made of bones., The radio engineer said bones are used to make stores.,True,composition
310,Some rally driver said cities are made of apartments., The rally driver said apartments are used to make cities.,True,composition
311,Some records supervisor said hotels are made of beds., The records supervisor said beds are used to make hotels.,True,composition
312,Some repair man said books are made of words., The repair man said words are used to make books.,True,composition
313,Some reprographic assistant said computer are made of silicon., The reprographic assistant said silicon are used to make computer.,True,composition
314,Some research scientist said hotels are made of rooms., The research scientist said rooms are used to make hotels.,True,composition
315,Some revenue clerk said cars are made of hubcaps., The revenue clerk said hubcaps are used to make cars.,True,composition
316,Some revenue clerk said coats are made of zippers., The revenue clerk said zippers are used to make coats.,True,composition
317,Some rigger said homes are made of children., The rigger said children are used to make homes.,True,composition
318,Some road sweeper said hotels are made of beds., The road sweeper said beds are used to make hotels.,True,composition
319,Some sand blaster said hospitals are made of patients., The sand blaster said patients are used to make hospitals.,True,composition
320,Some security guard said hospitals are made of patients., The security guard said patients are used to make hospitals.,True,composition
321,Some sheet metal worker said homes are made of families., The sheet metal worker said families are used to make homes.,True,composition
322,Some shop fitter said desks are made of drawers., The shop fitter said drawers are used to make desks.,True,composition
323,Some shop keeper said books are made of words., The shop keeper said words are used to make books.,True,composition
324,Some shunter said flowers are made of pedals., The shunter said pedals are used to make flowers.,True,composition
325,Some signwriter said gardens are made of plants., The signwriter said plants are used to make gardens.,True,composition
326,Some smallholder said books are made of pages., The smallholder said pages are used to make books.,True,composition
327,Some social worker said cities are made of apartments., The social worker said apartments are used to make cities.,True,composition
328,Some software consultant said computer are made of silicon., The software consultant said silicon are used to make computer.,True,composition
329,Some software engineer said coats are made of zippers., The software engineer said zippers are used to make coats.,True,composition
330,Some special needs said books are made of pages., The special needs said pages are used to make books.,True,composition
331,Some steel worker said teapots are made of tea., The steel worker said tea are used to make teapots.,True,composition
332,Some stock manager said parks are made of swings., The stock manager said swings are used to make parks.,True,composition
333,Some stockman said flowers are made of pedals., The stockman said pedals are used to make flowers.,True,composition
334,Some student teacher said schools are made of classrooms., The student teacher said classrooms are used to make schools.,True,composition
335,Some supervisor said domains are made of classes., The supervisor said classes are used to make domains.,True,composition
336,Some supply teacher said forests are made of leafs., The supply teacher said leafs are used to make forests.,True,composition
337,Some tea blender said stores are made of bones., The tea blender said bones are used to make stores.,True,composition
338,Some telex operator said domains are made of species., The telex operator said species are used to make domains.,True,composition
339,Some tiler said stores are made of bones., The tiler said bones are used to make stores.,True,composition
340,Some timber inspector said decks are made of suits., The timber inspector said suits are used to make decks.,True,composition
341,Some timber inspector said cars are made of wheels., The timber inspector said wheels are used to make cars.,True,composition
342,Some town clerk said domains are made of species., The town clerk said species are used to make domains.,True,composition
343,Some tractor mechanic said domains are made of classes., The tractor mechanic said classes are used to make domains.,True,composition
344,Some trading standards said domains are made of classes., The trading standards said classes are used to make domains.,True,composition
345,Some training officer said domains are made of orders., The training officer said orders are used to make domains.,True,composition
346,Some transport clerk said domains are made of kingdoms., The transport clerk said kingdoms are used to make domains.,True,composition
347,Some transport planner said parks are made of swings., The transport planner said swings are used to make parks.,True,composition
348,Some tutor said artworks are made of chemicals., The tutor said chemicals are used to make artworks.,True,composition
349,Some typist said decks are made of cards., The typist said cards are used to make decks.,True,composition
350,Some valuer said songs are made of instruments., The valuer said instruments are used to make songs.,True,composition
