('There is not a rock & roll album in colorado.', 'There is not a music album in colorado.', False)
('There is not a bear in iowa.', 'There is not a eukaryote in iowa.', False)
('There is not a bear in louisiana.', 'There is not a animal in louisiana.', False)
('There is not a beaver in montana.', 'There is not a lifeform in montana.', False)
('There is not a beaver in nevada.', 'There is not a eukaryote in nevada.', False)
('There is not a beaver in arizona.', 'There is not a animal in arizona.', False)
('There is not a bee in purdue university.', 'There is not a lifeform in purdue university.', False)
('There is not a bee in idaho.', 'There is not a eukaryote in idaho.', False)
('There is not a bee in london.', 'There is not a animal in london.', False)
('There is not a bison in nevada.', 'There is not a lifeform in nevada.', False)
('There is not a bison in florida.', 'There is not a eukaryote in florida.', False)
('There is not a bison in hawaii.', 'There is not a animal in hawaii.', False)
('There is not a boar in florida.', 'There is not a lifeform in florida.', False)
('There is not a boar in colorado.', 'There is not a eukaryote in colorado.', False)
('There is not a boar in illinois.', 'There is not a animal in illinois.', False)
('There is not a buffalo in montana.', 'There is not a lifeform in montana.', False)
('There is not a buffalo in indiana.', 'There is not a eukaryote in indiana.', False)
('There is not a buffalo in michigan.', 'There is not a animal in michigan.', False)
('There is not a butterfly in colorado.', 'There is not a lifeform in colorado.', False)
('There is not a butterfly in kansas.', 'There is not a eukaryote in kansas.', False)
('There is not a butterfly in hong kong.', 'There is not a animal in hong kong.', False)
('There is not a camel in maryland.', 'There is not a lifeform in maryland.', False)
('There is not a camel in georgia.', 'There is not a eukaryote in georgia.', False)
('There is not a camel in hong kong.', 'There is not a animal in hong kong.', False)
('There is not a capybara in michigan.', 'There is not a lifeform in michigan.', False)
('There is not a capybara in nebraska.', 'There is not a eukaryote in nebraska.', False)
('There is not a capybara in illinois.', 'There is not a animal in illinois.', False)
('There is not a caribou in michigan.', 'There is not a lifeform in michigan.', False)
('There is not a caribou in paris.', 'There is not a eukaryote in paris.', False)
('There is not a caribou in kentucky.', 'There is not a animal in kentucky.', False)
('There is not a cassowary in hawaii.', 'There is not a lifeform in hawaii.', False)
('There is not a cassowary in iowa.', 'There is not a eukaryote in iowa.', False)
('There is not a cassowary in hawaii.', 'There is not a animal in hawaii.', False)
('There is not a cat in nebraska.', 'There is not a lifeform in nebraska.', False)
('There is not a cat in hong kong.', 'There is not a eukaryote in hong kong.', False)
('There is not a cat in london.', 'There is not a animal in london.', False)
('There is not a abyssinian cat in paris.', 'There is not a lifeform in paris.', False)
('There is not a abyssinian cat in massachusetts.', 'There is not a eukaryote in massachusetts.', False)
('There is not a abyssinian cat in maine.', 'There is not a animal in maine.', False)
('There is not a abyssinian cat in nebraska.', 'There is not a cat in nebraska.', False)
('There is not a aegean cat in indiana.', 'There is not a lifeform in indiana.', False)
('There is not a aegean cat in michigan.', 'There is not a eukaryote in michigan.', False)
('There is not a aegean cat in mississippi.', 'There is not a animal in mississippi.', False)
('There is not a aegean cat in london.', 'There is not a cat in london.', False)
('There is not a american curl in arkansas.', 'There is not a lifeform in arkansas.', False)
('There is not a american curl in missouri.', 'There is not a eukaryote in missouri.', False)
('There is not a american curl in louisiana.', 'There is not a animal in louisiana.', False)
('There is not a american curl in louisiana.', 'There is not a cat in louisiana.', False)
('There is not a american bobtail in chicago.', 'There is not a lifeform in chicago.', False)
('There is not a american bobtail in california.', 'There is not a eukaryote in california.', False)
('There is not a american bobtail in minnesota.', 'There is not a animal in minnesota.', False)
('There is not a american bobtail in nevada.', 'There is not a cat in nevada.', False)
('There is not a american shorthair in colorado.', 'There is not a lifeform in colorado.', False)
('There is not a american shorthair in paris.', 'There is not a eukaryote in paris.', False)
('There is not a american shorthair in nebraska.', 'There is not a animal in nebraska.', False)
('There is not a american shorthair in georgia.', 'There is not a cat in georgia.', False)
('There is not a american wirehair in louisiana.', 'There is not a lifeform in louisiana.', False)
('There is not a american wirehair in alabama.', 'There is not a eukaryote in alabama.', False)
('There is not a american wirehair in purdue university.', 'There is not a animal in purdue university.', False)
('There is not a american wirehair in chicago.', 'There is not a cat in chicago.', False)
('There is not a arabian mau in maine.', 'There is not a lifeform in maine.', False)
('There is not a arabian mau in nevada.', 'There is not a eukaryote in nevada.', False)
('There is not a arabian mau in nebraska.', 'There is not a animal in nebraska.', False)
('There is not a arabian mau in alabama.', 'There is not a cat in alabama.', False)
('There is not a australian mist in california.', 'There is not a lifeform in california.', False)
('There is not a australian mist in san francisco.', 'There is not a eukaryote in san francisco.', False)
('There is not a australian mist in montana.', 'There is not a animal in montana.', False)
('There is not a australian mist in nevada.', 'There is not a cat in nevada.', False)
('There is not a asian cat in massachusetts.', 'There is not a lifeform in massachusetts.', False)
('There is not a asian cat in mississippi.', 'There is not a eukaryote in mississippi.', False)
('There is not a asian cat in san francisco.', 'There is not a animal in san francisco.', False)
('There is not a asian cat in michigan.', 'There is not a cat in michigan.', False)
('There is not a asian semi-longhair in connecticut.', 'There is not a lifeform in connecticut.', False)
('There is not a asian semi-longhair in louisiana.', 'There is not a eukaryote in louisiana.', False)
('There is not a asian semi-longhair in louisiana.', 'There is not a animal in louisiana.', False)
('There is not a asian semi-longhair in kansas.', 'There is not a cat in kansas.', False)
('There is not a balinese cat in missouri.', 'There is not a lifeform in missouri.', False)
('There is not a balinese cat in mississippi.', 'There is not a eukaryote in mississippi.', False)
('There is not a balinese cat in indiana.', 'There is not a animal in indiana.', False)
('There is not a balinese cat in iowa.', 'There is not a cat in iowa.', False)
('There is not a bambino cat in florida.', 'There is not a lifeform in florida.', False)
('There is not a bambino cat in montana.', 'There is not a eukaryote in montana.', False)
('There is not a bambino cat in paris.', 'There is not a animal in paris.', False)
('There is not a bambino cat in missouri.', 'There is not a cat in missouri.', False)
('There is not a bengal cat in indiana.', 'There is not a lifeform in indiana.', False)
('There is not a bengal cat in connecticut.', 'There is not a eukaryote in connecticut.', False)
('There is not a bengal cat in nevada.', 'There is not a animal in nevada.', False)
('There is not a bengal cat in hong kong.', 'There is not a cat in hong kong.', False)
('There is not a birman in delaware.', 'There is not a lifeform in delaware.', False)
('There is not a birman in paris.', 'There is not a eukaryote in paris.', False)
('There is not a birman in arizona.', 'There is not a animal in arizona.', False)
('There is not a birman in missouri.', 'There is not a cat in missouri.', False)
('There is not a bombay cat in kansas.', 'There is not a lifeform in kansas.', False)
('There is not a bombay cat in louisiana.', 'There is not a eukaryote in louisiana.', False)
('There is not a bombay cat in london.', 'There is not a animal in london.', False)
('There is not a bombay cat in mississippi.', 'There is not a cat in mississippi.', False)
('There is not a brazilian shorthair in illinois.', 'There is not a lifeform in illinois.', False)
('There is not a brazilian shorthair in california.', 'There is not a eukaryote in california.', False)
('There is not a brazilian shorthair in purdue university.', 'There is not a animal in purdue university.', False)
('There is not a brazilian shorthair in california.', 'There is not a cat in california.', False)
('There is not a british longhair in hong kong.', 'There is not a lifeform in hong kong.', False)
('There is not a british longhair in nebraska.', 'There is not a eukaryote in nebraska.', False)
('There is not a british longhair in arizona.', 'There is not a animal in arizona.', False)
('There is not a british longhair in florida.', 'There is not a cat in florida.', False)
('There is not a british shorthair in hawaii.', 'There is not a lifeform in hawaii.', False)
('There is not a british shorthair in minnesota.', 'There is not a eukaryote in minnesota.', False)
('There is not a british shorthair in colorado.', 'There is not a animal in colorado.', False)
('There is not a british shorthair in massachusetts.', 'There is not a cat in massachusetts.', False)
('There is not a british longhair in london.', 'There is not a lifeform in london.', False)
('There is not a british longhair in montana.', 'There is not a eukaryote in montana.', False)
('There is not a british longhair in arizona.', 'There is not a animal in arizona.', False)
('There is not a british longhair in kentucky.', 'There is not a cat in kentucky.', False)
('There is not a burmese cat in idaho.', 'There is not a lifeform in idaho.', False)
('There is not a burmese cat in maryland.', 'There is not a eukaryote in maryland.', False)
('There is not a burmese cat in florida.', 'There is not a animal in florida.', False)
('There is not a burmese cat in maine.', 'There is not a cat in maine.', False)
('There is not a burmilla in kentucky.', 'There is not a lifeform in kentucky.', False)
('There is not a burmilla in purdue university.', 'There is not a eukaryote in purdue university.', False)
('There is not a burmilla in idaho.', 'There is not a animal in idaho.', False)
('There is not a burmilla in florida.', 'There is not a cat in florida.', False)
('There is not a california spangled in hawaii.', 'There is not a lifeform in hawaii.', False)
('There is not a california spangled in florida.', 'There is not a eukaryote in florida.', False)
('There is not a california spangled in missouri.', 'There is not a animal in missouri.', False)
('There is not a california spangled in hawaii.', 'There is not a cat in hawaii.', False)
('There is not a chantilly-tiffany in new york.', 'There is not a lifeform in new york.', False)
('There is not a chantilly-tiffany in hong kong.', 'There is not a eukaryote in hong kong.', False)
('There is not a chantilly-tiffany in hong kong.', 'There is not a animal in hong kong.', False)
('There is not a chantilly-tiffany in new york.', 'There is not a cat in new york.', False)
('There is not a chartreux in indiana.', 'There is not a lifeform in indiana.', False)
('There is not a chartreux in michigan.', 'There is not a eukaryote in michigan.', False)
('There is not a chartreux in london.', 'There is not a animal in london.', False)
('There is not a chartreux in chicago.', 'There is not a cat in chicago.', False)
('There is not a chausie in paris.', 'There is not a lifeform in paris.', False)
('There is not a chausie in delaware.', 'There is not a eukaryote in delaware.', False)
('There is not a chausie in georgia.', 'There is not a animal in georgia.', False)
('There is not a chausie in alaska.', 'There is not a cat in alaska.', False)
('There is not a cheetoh cat in new york.', 'There is not a lifeform in new york.', False)
('There is not a cheetoh cat in california.', 'There is not a eukaryote in california.', False)
('There is not a cheetoh cat in alabama.', 'There is not a animal in alabama.', False)
('There is not a cheetoh cat in alabama.', 'There is not a cat in alabama.', False)
('There is not a colorpoint shorthair in hong kong.', 'There is not a lifeform in hong kong.', False)
('There is not a colorpoint shorthair in indiana.', 'There is not a eukaryote in indiana.', False)
('There is not a colorpoint shorthair in connecticut.', 'There is not a animal in connecticut.', False)
('There is not a colorpoint shorthair in kansas.', 'There is not a cat in kansas.', False)
('There is not a cornish rex in missouri.', 'There is not a lifeform in missouri.', False)
('There is not a cornish rex in san francisco.', 'There is not a eukaryote in san francisco.', False)
('There is not a cornish rex in maine.', 'There is not a animal in maine.', False)
('There is not a cornish rex in iowa.', 'There is not a cat in iowa.', False)
('There is not a cymric cat in maine.', 'There is not a lifeform in maine.', False)
('There is not a cymric cat in idaho.', 'There is not a eukaryote in idaho.', False)
('There is not a cymric cat in indiana.', 'There is not a animal in indiana.', False)
('There is not a cymric cat in mississippi.', 'There is not a cat in mississippi.', False)
('There is not a cyprus cat in idaho.', 'There is not a lifeform in idaho.', False)
('There is not a cyprus cat in missouri.', 'There is not a eukaryote in missouri.', False)
('There is not a cyprus cat in alabama.', 'There is not a animal in alabama.', False)
('There is not a cyprus cat in purdue university.', 'There is not a cat in purdue university.', False)
('There is not a devon rex in london.', 'There is not a lifeform in london.', False)
('There is not a devon rex in michigan.', 'There is not a eukaryote in michigan.', False)
('There is not a devon rex in purdue university.', 'There is not a animal in purdue university.', False)
('There is not a devon rex in michigan.', 'There is not a cat in michigan.', False)
('There is not a donskoy cat in hong kong.', 'There is not a lifeform in hong kong.', False)
('There is not a donskoy cat in san francisco.', 'There is not a eukaryote in san francisco.', False)
('There is not a donskoy cat in purdue university.', 'There is not a animal in purdue university.', False)
('There is not a donskoy cat in massachusetts.', 'There is not a cat in massachusetts.', False)
('There is not a dragon li in michigan.', 'There is not a lifeform in michigan.', False)
('There is not a dragon li in massachusetts.', 'There is not a eukaryote in massachusetts.', False)
('There is not a dragon li in georgia.', 'There is not a animal in georgia.', False)
('There is not a dragon li in iowa.', 'There is not a cat in iowa.', False)
('There is not a dwarf cat in chicago.', 'There is not a lifeform in chicago.', False)
('There is not a dwarf cat in louisiana.', 'There is not a eukaryote in louisiana.', False)
('There is not a dwarf cat in alabama.', 'There is not a animal in alabama.', False)
('There is not a dwarf cat in montana.', 'There is not a cat in montana.', False)
('There is not a egyptian mau in missouri.', 'There is not a lifeform in missouri.', False)
('There is not a egyptian mau in new york.', 'There is not a eukaryote in new york.', False)
('There is not a egyptian mau in minnesota.', 'There is not a animal in minnesota.', False)
('There is not a egyptian mau in nebraska.', 'There is not a cat in nebraska.', False)
('There is not a european shorthair in illinois.', 'There is not a lifeform in illinois.', False)
('There is not a european shorthair in arizona.', 'There is not a eukaryote in arizona.', False)
('There is not a european shorthair in alaska.', 'There is not a animal in alaska.', False)
('There is not a european shorthair in montana.', 'There is not a cat in montana.', False)
('There is not a exotic shorthair in indiana.', 'There is not a lifeform in indiana.', False)
('There is not a exotic shorthair in michigan.', 'There is not a eukaryote in michigan.', False)
('There is not a exotic shorthair in missouri.', 'There is not a animal in missouri.', False)
('There is not a exotic shorthair in california.', 'There is not a cat in california.', False)
('There is not a german rex in london.', 'There is not a lifeform in london.', False)
('There is not a german rex in nebraska.', 'There is not a eukaryote in nebraska.', False)
('There is not a german rex in arkansas.', 'There is not a animal in arkansas.', False)
('There is not a german rex in colorado.', 'There is not a cat in colorado.', False)
('There is not a havana brown in paris.', 'There is not a lifeform in paris.', False)
('There is not a havana brown in missouri.', 'There is not a eukaryote in missouri.', False)
('There is not a havana brown in maine.', 'There is not a animal in maine.', False)
('There is not a havana brown in chicago.', 'There is not a cat in chicago.', False)
('There is not a highlander cat in iowa.', 'There is not a lifeform in iowa.', False)
('There is not a highlander cat in arkansas.', 'There is not a eukaryote in arkansas.', False)
('There is not a highlander cat in maryland.', 'There is not a animal in maryland.', False)
('There is not a highlander cat in georgia.', 'There is not a cat in georgia.', False)
('There is not a himalayan cat in arizona.', 'There is not a lifeform in arizona.', False)
('There is not a himalayan cat in london.', 'There is not a eukaryote in london.', False)
('There is not a himalayan cat in purdue university.', 'There is not a animal in purdue university.', False)
('There is not a himalayan cat in louisiana.', 'There is not a cat in louisiana.', False)
('There is not a japanese bobtail in indiana.', 'There is not a lifeform in indiana.', False)
('There is not a japanese bobtail in idaho.', 'There is not a eukaryote in idaho.', False)
('There is not a japanese bobtail in michigan.', 'There is not a animal in michigan.', False)
('There is not a japanese bobtail in arkansas.', 'There is not a cat in arkansas.', False)
('There is not a javanese cat in illinois.', 'There is not a lifeform in illinois.', False)
('There is not a javanese cat in colorado.', 'There is not a eukaryote in colorado.', False)
('There is not a javanese cat in nevada.', 'There is not a animal in nevada.', False)
('There is not a javanese cat in purdue university.', 'There is not a cat in purdue university.', False)
('There is not a kurilian bobtail in maryland.', 'There is not a lifeform in maryland.', False)
('There is not a kurilian bobtail in mississippi.', 'There is not a eukaryote in mississippi.', False)
('There is not a kurilian bobtail in colorado.', 'There is not a animal in colorado.', False)
('There is not a kurilian bobtail in florida.', 'There is not a cat in florida.', False)
('There is not a khao manee in mississippi.', 'There is not a lifeform in mississippi.', False)
('There is not a khao manee in hawaii.', 'There is not a eukaryote in hawaii.', False)
('There is not a khao manee in indiana.', 'There is not a animal in indiana.', False)
('There is not a khao manee in nevada.', 'There is not a cat in nevada.', False)
('There is not a korat in louisiana.', 'There is not a lifeform in louisiana.', False)
('There is not a korat in alaska.', 'There is not a eukaryote in alaska.', False)
('There is not a korat in georgia.', 'There is not a animal in georgia.', False)
('There is not a korat in arkansas.', 'There is not a cat in arkansas.', False)
('There is not a korean bobtail in louisiana.', 'There is not a lifeform in louisiana.', False)
('There is not a korean bobtail in paris.', 'There is not a eukaryote in paris.', False)
('There is not a korean bobtail in hong kong.', 'There is not a animal in hong kong.', False)
('There is not a korean bobtail in hong kong.', 'There is not a cat in hong kong.', False)
('There is not a korn ja in maryland.', 'There is not a lifeform in maryland.', False)
('There is not a korn ja in purdue university.', 'There is not a eukaryote in purdue university.', False)
('There is not a korn ja in indiana.', 'There is not a animal in indiana.', False)
('There is not a korn ja in massachusetts.', 'There is not a cat in massachusetts.', False)
('There is not a kurilian bobtail in louisiana.', 'There is not a lifeform in louisiana.', False)
('There is not a kurilian bobtail in new york.', 'There is not a eukaryote in new york.', False)
('There is not a kurilian bobtail in mississippi.', 'There is not a animal in mississippi.', False)
('There is not a kurilian bobtail in hong kong.', 'There is not a cat in hong kong.', False)
('There is not a laperm in alaska.', 'There is not a lifeform in alaska.', False)
('There is not a laperm in mississippi.', 'There is not a eukaryote in mississippi.', False)
('There is not a laperm in michigan.', 'There is not a animal in michigan.', False)
('There is not a laperm in alaska.', 'There is not a cat in alaska.', False)
('There is not a lykoi in minnesota.', 'There is not a lifeform in minnesota.', False)
('There is not a lykoi in georgia.', 'There is not a eukaryote in georgia.', False)
('There is not a lykoi in new york.', 'There is not a animal in new york.', False)
('There is not a lykoi in indiana.', 'There is not a cat in indiana.', False)
('There is not a maine coon in london.', 'There is not a lifeform in london.', False)
('There is not a maine coon in louisiana.', 'There is not a eukaryote in louisiana.', False)
('There is not a maine coon in indiana.', 'There is not a animal in indiana.', False)
('There is not a maine coon in london.', 'There is not a cat in london.', False)
('There is not a manx cat in paris.', 'There is not a lifeform in paris.', False)
('There is not a manx cat in kansas.', 'There is not a eukaryote in kansas.', False)
('There is not a manx cat in montana.', 'There is not a animal in montana.', False)
('There is not a manx cat in kentucky.', 'There is not a cat in kentucky.', False)
('There is not a mekong bobtail in arizona.', 'There is not a lifeform in arizona.', False)
('There is not a mekong bobtail in florida.', 'There is not a eukaryote in florida.', False)
('There is not a mekong bobtail in indiana.', 'There is not a animal in indiana.', False)
('There is not a mekong bobtail in kansas.', 'There is not a cat in kansas.', False)
('There is not a minskin in hawaii.', 'There is not a lifeform in hawaii.', False)
('There is not a minskin in illinois.', 'There is not a eukaryote in illinois.', False)
('There is not a minskin in maine.', 'There is not a animal in maine.', False)
('There is not a minskin in chicago.', 'There is not a cat in chicago.', False)
('There is not a munchkin cat in delaware.', 'There is not a lifeform in delaware.', False)
('There is not a munchkin cat in hong kong.', 'There is not a eukaryote in hong kong.', False)
('There is not a munchkin cat in missouri.', 'There is not a animal in missouri.', False)
('There is not a munchkin cat in connecticut.', 'There is not a cat in connecticut.', False)
('There is not a nebelung in arkansas.', 'There is not a lifeform in arkansas.', False)
('There is not a nebelung in san francisco.', 'There is not a eukaryote in san francisco.', False)
('There is not a nebelung in georgia.', 'There is not a animal in georgia.', False)
('There is not a nebelung in arkansas.', 'There is not a cat in arkansas.', False)
('There is not a napoleon cat in iowa.', 'There is not a lifeform in iowa.', False)
('There is not a napoleon cat in nebraska.', 'There is not a eukaryote in nebraska.', False)
('There is not a napoleon cat in purdue university.', 'There is not a animal in purdue university.', False)
('There is not a napoleon cat in georgia.', 'There is not a cat in georgia.', False)
('There is not a norwegian forest cat in montana.', 'There is not a lifeform in montana.', False)
('There is not a norwegian forest cat in montana.', 'There is not a eukaryote in montana.', False)
