('neighborhoods are found in cities.', 'neighborhoods contain cities', True)
('Some aircraft engineers says cities consists of neighborhoods.', 'aircraft engineers says cities are composed of neighborhoods', True)
('Some aircraft maintenance engineers says cities consists of neighborhoods.', 'aircraft maintenance engineers says cities are composed of neighborhoods', True)
('Some aircraft surface finishers says cities consists of neighborhoods.', 'aircraft surface finishers says cities are composed of neighborhoods', True)
('Some airmans says cities consists of neighborhoods.', 'airmans says cities are composed of neighborhoods', True)
('Some airport controllers says cities consists of neighborhoods.', 'airport controllers says cities are composed of neighborhoods', True)
('Some airport managers says cities consists of neighborhoods.', 'airport managers says cities are composed of neighborhoods', True)
('Some almoners says cities consists of neighborhoods.', 'almoners says cities are composed of neighborhoods', True)
('Some ambulance controllers says cities consists of neighborhoods.', 'ambulance controllers says cities are composed of neighborhoods', True)
('Some ambulance crews says cities consists of neighborhoods.', 'ambulance crews says cities are composed of neighborhoods', True)
('Some ambulance drivers says cities consists of neighborhoods.', 'ambulance drivers says cities are composed of neighborhoods', True)
('Some amusement arcade workers says cities consists of neighborhoods.', 'amusement arcade workers says cities are composed of neighborhoods', True)
('Some anaesthetists says cities consists of neighborhoods.', 'anaesthetists says cities are composed of neighborhoods', True)
('Some analysts says cities consists of neighborhoods.', 'analysts says cities are composed of neighborhoods', True)
('Some analytical chemists says cities consists of neighborhoods.', 'analytical chemists says cities are composed of neighborhoods', True)
('Some animal breeders says cities consists of neighborhoods.', 'animal breeders says cities are composed of neighborhoods', True)
('Some anthropologists says cities consists of neighborhoods.', 'anthropologists says cities are composed of neighborhoods', True)
('Some antique dealers says cities consists of neighborhoods.', 'antique dealers says cities are composed of neighborhoods', True)
('Some applications engineers says cities consists of neighborhoods.', 'applications engineers says cities are composed of neighborhoods', True)
('Some applications programmers says cities consists of neighborhoods.', 'applications programmers says cities are composed of neighborhoods', True)
('Some arbitrators says cities consists of neighborhoods.', 'arbitrators says cities are composed of neighborhoods', True)
('Some arborists says cities consists of neighborhoods.', 'arborists says cities are composed of neighborhoods', True)
('Some archaeologists says cities consists of neighborhoods.', 'archaeologists says cities are composed of neighborhoods', True)
('Some architects says cities consists of neighborhoods.', 'architects says cities are composed of neighborhoods', True)
('Some archivists says cities consists of neighborhoods.', 'archivists says cities are composed of neighborhoods', True)
('Some area managers says cities consists of neighborhoods.', 'area managers says cities are composed of neighborhoods', True)
('Some armourers says cities consists of neighborhoods.', 'armourers says cities are composed of neighborhoods', True)
('Some aromatherapists says cities consists of neighborhoods.', 'aromatherapists says cities are composed of neighborhoods', True)
('Some art critics says cities consists of neighborhoods.', 'art critics says cities are composed of neighborhoods', True)
('Some art dealers says cities consists of neighborhoods.', 'art dealers says cities are composed of neighborhoods', True)
('Some art historians says cities consists of neighborhoods.', 'art historians says cities are composed of neighborhoods', True)
('Some art restorers says cities consists of neighborhoods.', 'art restorers says cities are composed of neighborhoods', True)
('Some artexers says cities consists of neighborhoods.', 'artexers says cities are composed of neighborhoods', True)
('Some artists says cities consists of neighborhoods.', 'artists says cities are composed of neighborhoods', True)
('Some artss says cities consists of neighborhoods.', 'artss says cities are composed of neighborhoods', True)
('Some assembly workers says cities consists of neighborhoods.', 'assembly workers says cities are composed of neighborhoods', True)
('Some assessors says cities consists of neighborhoods.', 'assessors says cities are composed of neighborhoods', True)
('Some assistants says cities consists of neighborhoods.', 'assistants says cities are composed of neighborhoods', True)
('Some assistant caretakers says cities consists of neighborhoods.', 'assistant caretakers says cities are composed of neighborhoods', True)
('Some assistant cooks says cities consists of neighborhoods.', 'assistant cooks says cities are composed of neighborhoods', True)
('Some assistant managers says cities consists of neighborhoods.', 'assistant managers says cities are composed of neighborhoods', True)
('Some assistant nurses says cities consists of neighborhoods.', 'assistant nurses says cities are composed of neighborhoods', True)
('Some assistant teachers says cities consists of neighborhoods.', 'assistant teachers says cities are composed of neighborhoods', True)
('Some astrologers says cities consists of neighborhoods.', 'astrologers says cities are composed of neighborhoods', True)
('Some astronomers says cities consists of neighborhoods.', 'astronomers says cities are composed of neighborhoods', True)
('Some attendants says cities consists of neighborhoods.', 'attendants says cities are composed of neighborhoods', True)
('Some au pairs says cities consists of neighborhoods.', 'au pairs says cities are composed of neighborhoods', True)
('Some auction workers says cities consists of neighborhoods.', 'auction workers says cities are composed of neighborhoods', True)
('Some auctioneers says cities consists of neighborhoods.', 'auctioneers says cities are composed of neighborhoods', True)
('Some audiologists says cities consists of neighborhoods.', 'audiologists says cities are composed of neighborhoods', True)
('Some audit clerks says cities consists of neighborhoods.', 'audit clerks says cities are composed of neighborhoods', True)
('Some audit managers says cities consists of neighborhoods.', 'audit managers says cities are composed of neighborhoods', True)
('Some auditors says cities consists of neighborhoods.', 'auditors says cities are composed of neighborhoods', True)
('Some auto electricians says cities consists of neighborhoods.', 'auto electricians says cities are composed of neighborhoods', True)
('Some auxiliary nurses says cities consists of neighborhoods.', 'auxiliary nurses says cities are composed of neighborhoods', True)
('Some bacon curers says cities consists of neighborhoods.', 'bacon curers says cities are composed of neighborhoods', True)
('Some baggage handlers says cities consists of neighborhoods.', 'baggage handlers says cities are composed of neighborhoods', True)
('Some bailiffs says cities consists of neighborhoods.', 'bailiffs says cities are composed of neighborhoods', True)
('Some bakers says cities consists of neighborhoods.', 'bakers says cities are composed of neighborhoods', True)
('Some bakery assistants says cities consists of neighborhoods.', 'bakery assistants says cities are composed of neighborhoods', True)
('Some bakery managers says cities consists of neighborhoods.', 'bakery managers says cities are composed of neighborhoods', True)
('Some bakery operators says cities consists of neighborhoods.', 'bakery operators says cities are composed of neighborhoods', True)
('Some balloonists says cities consists of neighborhoods.', 'balloonists says cities are composed of neighborhoods', True)
('Some bank clerks says cities consists of neighborhoods.', 'bank clerks says cities are composed of neighborhoods', True)
('Some bank managers says cities consists of neighborhoods.', 'bank managers says cities are composed of neighborhoods', True)
('Some bank messengers says cities consists of neighborhoods.', 'bank messengers says cities are composed of neighborhoods', True)
('Some baptist ministers says cities consists of neighborhoods.', 'baptist ministers says cities are composed of neighborhoods', True)
('Some bar managers says cities consists of neighborhoods.', 'bar managers says cities are composed of neighborhoods', True)
('Some bar stewards says cities consists of neighborhoods.', 'bar stewards says cities are composed of neighborhoods', True)
('Some barbers says cities consists of neighborhoods.', 'barbers says cities are composed of neighborhoods', True)
('Some barmaids says cities consists of neighborhoods.', 'barmaids says cities are composed of neighborhoods', True)
('Some barmans says cities consists of neighborhoods.', 'barmans says cities are composed of neighborhoods', True)
('Some barristers says cities consists of neighborhoods.', 'barristers says cities are composed of neighborhoods', True)
('Some beauticians says cities consists of neighborhoods.', 'beauticians says cities are composed of neighborhoods', True)
('Some beauty therapists says cities consists of neighborhoods.', 'beauty therapists says cities are composed of neighborhoods', True)
('Some betting shops says cities consists of neighborhoods.', 'betting shops says cities are composed of neighborhoods', True)
('Some bill posters says cities consists of neighborhoods.', 'bill posters says cities are composed of neighborhoods', True)
('Some bingo callers says cities consists of neighborhoods.', 'bingo callers says cities are composed of neighborhoods', True)
('Some biochemists says cities consists of neighborhoods.', 'biochemists says cities are composed of neighborhoods', True)
('Some biologists says cities consists of neighborhoods.', 'biologists says cities are composed of neighborhoods', True)
('Some blacksmiths says cities consists of neighborhoods.', 'blacksmiths says cities are composed of neighborhoods', True)
('Some blind assemblers says cities consists of neighborhoods.', 'blind assemblers says cities are composed of neighborhoods', True)
('Some blind fitters says cities consists of neighborhoods.', 'blind fitters says cities are composed of neighborhoods', True)
('Some blinds installers says cities consists of neighborhoods.', 'blinds installers says cities are composed of neighborhoods', True)
('Some boat builders says cities consists of neighborhoods.', 'boat builders says cities are composed of neighborhoods', True)
('Some body fitters says cities consists of neighborhoods.', 'body fitters says cities are composed of neighborhoods', True)
('Some bodyguards says cities consists of neighborhoods.', 'bodyguards says cities are composed of neighborhoods', True)
('Some bodyshops says cities consists of neighborhoods.', 'bodyshops says cities are composed of neighborhoods', True)
('Some book binders says cities consists of neighborhoods.', 'book binders says cities are composed of neighborhoods', True)
('Some book sellers says cities consists of neighborhoods.', 'book sellers says cities are composed of neighborhoods', True)
('Some book-keepers says cities consists of neighborhoods.', 'book-keepers says cities are composed of neighborhoods', True)
('Some booking agents says cities consists of neighborhoods.', 'booking agents says cities are composed of neighborhoods', True)
('Some booking clerks says cities consists of neighborhoods.', 'booking clerks says cities are composed of neighborhoods', True)
('Some bookmakers says cities consists of neighborhoods.', 'bookmakers says cities are composed of neighborhoods', True)
('Some botanists says cities consists of neighborhoods.', 'botanists says cities are composed of neighborhoods', True)
('Some branch managers says cities consists of neighborhoods.', 'branch managers says cities are composed of neighborhoods', True)
('Some breeders says cities consists of neighborhoods.', 'breeders says cities are composed of neighborhoods', True)
('Some brewers says cities consists of neighborhoods.', 'brewers says cities are composed of neighborhoods', True)
('Some brewery managers says cities consists of neighborhoods.', 'brewery managers says cities are composed of neighborhoods', True)
('Some brewery workers says cities consists of neighborhoods.', 'brewery workers says cities are composed of neighborhoods', True)
('Some bricklayers says cities consists of neighborhoods.', 'bricklayers says cities are composed of neighborhoods', True)
('Some broadcasters says cities consists of neighborhoods.', 'broadcasters says cities are composed of neighborhoods', True)
('Some builders says cities consists of neighborhoods.', 'builders says cities are composed of neighborhoods', True)
('Some builders labourers says cities consists of neighborhoods.', 'builders labourers says cities are composed of neighborhoods', True)
('Some building advisors says cities consists of neighborhoods.', 'building advisors says cities are composed of neighborhoods', True)
('Some building controls says cities consists of neighborhoods.', 'building controls says cities are composed of neighborhoods', True)
('Some building engineers says cities consists of neighborhoods.', 'building engineers says cities are composed of neighborhoods', True)
('Some building estimators says cities consists of neighborhoods.', 'building estimators says cities are composed of neighborhoods', True)
('Some building foremans says cities consists of neighborhoods.', 'building foremans says cities are composed of neighborhoods', True)
('Some building inspectors says cities consists of neighborhoods.', 'building inspectors says cities are composed of neighborhoods', True)
('Some building managers says cities consists of neighborhoods.', 'building managers says cities are composed of neighborhoods', True)
('Some building surveyors says cities consists of neighborhoods.', 'building surveyors says cities are composed of neighborhoods', True)
('Some bursars says cities consists of neighborhoods.', 'bursars says cities are composed of neighborhoods', True)
('Some bus companys says cities consists of neighborhoods.', 'bus companys says cities are composed of neighborhoods', True)
('Some bus conductors says cities consists of neighborhoods.', 'bus conductors says cities are composed of neighborhoods', True)
('Some bus drivers says cities consists of neighborhoods.', 'bus drivers says cities are composed of neighborhoods', True)
('Some bus mechanics says cities consists of neighborhoods.', 'bus mechanics says cities are composed of neighborhoods', True)
('Some bus valeters says cities consists of neighborhoods.', 'bus valeters says cities are composed of neighborhoods', True)
('Some business consultants says cities consists of neighborhoods.', 'business consultants says cities are composed of neighborhoods', True)
('Some business proprietors says cities consists of neighborhoods.', 'business proprietors says cities are composed of neighborhoods', True)
('Some butchers says cities consists of neighborhoods.', 'butchers says cities are composed of neighborhoods', True)
('Some butchery managers says cities consists of neighborhoods.', 'butchery managers says cities are composed of neighborhoods', True)
('Some butlers says cities consists of neighborhoods.', 'butlers says cities are composed of neighborhoods', True)
('Some buyers says cities consists of neighborhoods.', 'buyers says cities are composed of neighborhoods', True)
('Some cab drivers says cities consists of neighborhoods.', 'cab drivers says cities are composed of neighborhoods', True)
('Some cabinet makers says cities consists of neighborhoods.', 'cabinet makers says cities are composed of neighborhoods', True)
('Some cable contractors says cities consists of neighborhoods.', 'cable contractors says cities are composed of neighborhoods', True)
('Some cable jointers says cities consists of neighborhoods.', 'cable jointers says cities are composed of neighborhoods', True)
('Some cable tv installers says cities consists of neighborhoods.', 'cable tv installers says cities are composed of neighborhoods', True)
('Some cafe owners says cities consists of neighborhoods.', 'cafe owners says cities are composed of neighborhoods', True)
('Some cafe staffs says cities consists of neighborhoods.', 'cafe staffs says cities are composed of neighborhoods', True)
('Some cafe workers says cities consists of neighborhoods.', 'cafe workers says cities are composed of neighborhoods', True)
('Some calibration managers says cities consists of neighborhoods.', 'calibration managers says cities are composed of neighborhoods', True)
('Some camera repairers says cities consists of neighborhoods.', 'camera repairers says cities are composed of neighborhoods', True)
('Some cameramans says cities consists of neighborhoods.', 'cameramans says cities are composed of neighborhoods', True)
('Some car dealers says cities consists of neighborhoods.', 'car dealers says cities are composed of neighborhoods', True)
('Some car delivery drivers says cities consists of neighborhoods.', 'car delivery drivers says cities are composed of neighborhoods', True)
('Some car park attendants says cities consists of neighborhoods.', 'car park attendants says cities are composed of neighborhoods', True)
('Some car salesmans says cities consists of neighborhoods.', 'car salesmans says cities are composed of neighborhoods', True)
('Some car valets says cities consists of neighborhoods.', 'car valets says cities are composed of neighborhoods', True)
('Some car wash attendants says cities consists of neighborhoods.', 'car wash attendants says cities are composed of neighborhoods', True)
('Some care assistants says cities consists of neighborhoods.', 'care assistants says cities are composed of neighborhoods', True)
('Some care managers says cities consists of neighborhoods.', 'care managers says cities are composed of neighborhoods', True)
('Some careers advisors says cities consists of neighborhoods.', 'careers advisors says cities are composed of neighborhoods', True)
('Some careers officers says cities consists of neighborhoods.', 'careers officers says cities are composed of neighborhoods', True)
('Some caretakers says cities consists of neighborhoods.', 'caretakers says cities are composed of neighborhoods', True)
('Some cargo operators says cities consists of neighborhoods.', 'cargo operators says cities are composed of neighborhoods', True)
('Some carpenters says cities consists of neighborhoods.', 'carpenters says cities are composed of neighborhoods', True)
('Some carpet cleaners says cities consists of neighborhoods.', 'carpet cleaners says cities are composed of neighborhoods', True)
('Some carpet fitters says cities consists of neighborhoods.', 'carpet fitters says cities are composed of neighborhoods', True)
('Some carpet retailers says cities consists of neighborhoods.', 'carpet retailers says cities are composed of neighborhoods', True)
('Some carphone fitters says cities consists of neighborhoods.', 'carphone fitters says cities are composed of neighborhoods', True)
('Some cartographers says cities consists of neighborhoods.', 'cartographers says cities are composed of neighborhoods', True)
('Some cartoonists says cities consists of neighborhoods.', 'cartoonists says cities are composed of neighborhoods', True)
('Some cashiers says cities consists of neighborhoods.', 'cashiers says cities are composed of neighborhoods', True)
('Some casual workers says cities consists of neighborhoods.', 'casual workers says cities are composed of neighborhoods', True)
('Some caterers says cities consists of neighborhoods.', 'caterers says cities are composed of neighborhoods', True)
('Some catering consultants says cities consists of neighborhoods.', 'catering consultants says cities are composed of neighborhoods', True)
('Some catering managers says cities consists of neighborhoods.', 'catering managers says cities are composed of neighborhoods', True)
('Some catering staffs says cities consists of neighborhoods.', 'catering staffs says cities are composed of neighborhoods', True)
('Some caulkers says cities consists of neighborhoods.', 'caulkers says cities are composed of neighborhoods', True)
('Some ceiling contractors says cities consists of neighborhoods.', 'ceiling contractors says cities are composed of neighborhoods', True)
('Some ceiling fixers says cities consists of neighborhoods.', 'ceiling fixers says cities are composed of neighborhoods', True)
('Some cellarmans says cities consists of neighborhoods.', 'cellarmans says cities are composed of neighborhoods', True)
('Some chambermaids says cities consists of neighborhoods.', 'chambermaids says cities are composed of neighborhoods', True)
('Some chandlers says cities consists of neighborhoods.', 'chandlers says cities are composed of neighborhoods', True)
('Some chaplains says cities consists of neighborhoods.', 'chaplains says cities are composed of neighborhoods', True)
('Some charge hands says cities consists of neighborhoods.', 'charge hands says cities are composed of neighborhoods', True)
('Some charity workers says cities consists of neighborhoods.', 'charity workers says cities are composed of neighborhoods', True)
('Some chartereds says cities consists of neighborhoods.', 'chartereds says cities are composed of neighborhoods', True)
('Some chartered accountants says cities consists of neighborhoods.', 'chartered accountants says cities are composed of neighborhoods', True)
('Some chauffeurs says cities consists of neighborhoods.', 'chauffeurs says cities are composed of neighborhoods', True)
('Some chefs says cities consists of neighborhoods.', 'chefs says cities are composed of neighborhoods', True)
('Some chemists says cities consists of neighborhoods.', 'chemists says cities are composed of neighborhoods', True)
('Some chicken chasers says cities consists of neighborhoods.', 'chicken chasers says cities are composed of neighborhoods', True)
('Some child minders says cities consists of neighborhoods.', 'child minders says cities are composed of neighborhoods', True)
('Some childminders says cities consists of neighborhoods.', 'childminders says cities are composed of neighborhoods', True)
('Some chimney sweeps says cities consists of neighborhoods.', 'chimney sweeps says cities are composed of neighborhoods', True)
('Some china restorers says cities consists of neighborhoods.', 'china restorers says cities are composed of neighborhoods', True)
('Some chiropodists says cities consists of neighborhoods.', 'chiropodists says cities are composed of neighborhoods', True)
('Some chiropractors says cities consists of neighborhoods.', 'chiropractors says cities are composed of neighborhoods', True)
('Some choreographers says cities consists of neighborhoods.', 'choreographers says cities are composed of neighborhoods', True)
('Some church officers says cities consists of neighborhoods.', 'church officers says cities are composed of neighborhoods', True)
('Some church wardens says cities consists of neighborhoods.', 'church wardens says cities are composed of neighborhoods', True)
('Some cinema managers says cities consists of neighborhoods.', 'cinema managers says cities are composed of neighborhoods', True)
('Some circus proprietors says cities consists of neighborhoods.', 'circus proprietors says cities are composed of neighborhoods', True)
('Some circus workers says cities consists of neighborhoods.', 'circus workers says cities are composed of neighborhoods', True)
('Some civil engineers says cities consists of neighborhoods.', 'civil engineers says cities are composed of neighborhoods', True)
('Some civil servants says cities consists of neighborhoods.', 'civil servants says cities are composed of neighborhoods', True)
('Some claims adjustors says cities consists of neighborhoods.', 'claims adjustors says cities are composed of neighborhoods', True)
('Some claims assessors says cities consists of neighborhoods.', 'claims assessors says cities are composed of neighborhoods', True)
('Some claims managers says cities consists of neighborhoods.', 'claims managers says cities are composed of neighborhoods', True)
('Some clairvoyants says cities consists of neighborhoods.', 'clairvoyants says cities are composed of neighborhoods', True)
('Some classroom aides says cities consists of neighborhoods.', 'classroom aides says cities are composed of neighborhoods', True)
('Some cleaners says cities consists of neighborhoods.', 'cleaners says cities are composed of neighborhoods', True)
('Some clergymans says cities consists of neighborhoods.', 'clergymans says cities are composed of neighborhoods', True)
('Some clerics says cities consists of neighborhoods.', 'clerics says cities are composed of neighborhoods', True)
('Some clerks says cities consists of neighborhoods.', 'clerks says cities are composed of neighborhoods', True)
('Some commissioneds says cities consists of neighborhoods.', 'commissioneds says cities are composed of neighborhoods', True)
('Some consultants says cities consists of neighborhoods.', 'consultants says cities are composed of neighborhoods', True)
('Some coroners says cities consists of neighborhoods.', 'coroners says cities are composed of neighborhoods', True)
('Some councillors says cities consists of neighborhoods.', 'councillors says cities are composed of neighborhoods', True)
('Some counsellors says cities consists of neighborhoods.', 'counsellors says cities are composed of neighborhoods', True)
('Some dealers says cities consists of neighborhoods.', 'dealers says cities are composed of neighborhoods', True)
('Some decorators says cities consists of neighborhoods.', 'decorators says cities are composed of neighborhoods', True)
('Some delivery drivers says cities consists of neighborhoods.', 'delivery drivers says cities are composed of neighborhoods', True)
('Some doctors says cities consists of neighborhoods.', 'doctors says cities are composed of neighborhoods', True)
('Some drivers says cities consists of neighborhoods.', 'drivers says cities are composed of neighborhoods', True)
('Some economists says cities consists of neighborhoods.', 'economists says cities are composed of neighborhoods', True)
('Some editors says cities consists of neighborhoods.', 'editors says cities are composed of neighborhoods', True)
('Some employees says cities consists of neighborhoods.', 'employees says cities are composed of neighborhoods', True)
('Some employments says cities consists of neighborhoods.', 'employments says cities are composed of neighborhoods', True)
('Some engineers says cities consists of neighborhoods.', 'engineers says cities are composed of neighborhoods', True)
('Some english teachers says cities consists of neighborhoods.', 'english teachers says cities are composed of neighborhoods', True)
('Some entertainers says cities consists of neighborhoods.', 'entertainers says cities are composed of neighborhoods', True)
('Some envoys says cities consists of neighborhoods.', 'envoys says cities are composed of neighborhoods', True)
('Some executives says cities consists of neighborhoods.', 'executives says cities are composed of neighborhoods', True)
('Some farmers says cities consists of neighborhoods.', 'farmers says cities are composed of neighborhoods', True)
('Some firemans says cities consists of neighborhoods.', 'firemans says cities are composed of neighborhoods', True)
('Some floor layers says cities consists of neighborhoods.', 'floor layers says cities are composed of neighborhoods', True)
('Some floor managers says cities consists of neighborhoods.', 'floor managers says cities are composed of neighborhoods', True)
('Some florists says cities consists of neighborhoods.', 'florists says cities are composed of neighborhoods', True)
('Some flour millers says cities consists of neighborhoods.', 'flour millers says cities are composed of neighborhoods', True)
('Some flower arrangers says cities consists of neighborhoods.', 'flower arrangers says cities are composed of neighborhoods', True)
('Some flying instructors says cities consists of neighborhoods.', 'flying instructors says cities are composed of neighborhoods', True)
('Some foam convertors says cities consists of neighborhoods.', 'foam convertors says cities are composed of neighborhoods', True)
('Some food processors says cities consists of neighborhoods.', 'food processors says cities are composed of neighborhoods', True)
('Some footballers says cities consists of neighborhoods.', 'footballers says cities are composed of neighborhoods', True)
('Some foremans says cities consists of neighborhoods.', 'foremans says cities are composed of neighborhoods', True)
('Some forensic scientists says cities consists of neighborhoods.', 'forensic scientists says cities are composed of neighborhoods', True)
('Some forest rangers says cities consists of neighborhoods.', 'forest rangers says cities are composed of neighborhoods', True)
('Some foresters says cities consists of neighborhoods.', 'foresters says cities are composed of neighborhoods', True)
('Some fork lift truck drivers says cities consists of neighborhoods.', 'fork lift truck drivers says cities are composed of neighborhoods', True)
('Some forwarding agents says cities consists of neighborhoods.', 'forwarding agents says cities are composed of neighborhoods', True)
('Some foster parents says cities consists of neighborhoods.', 'foster parents says cities are composed of neighborhoods', True)
('Some foundry workers says cities consists of neighborhoods.', 'foundry workers says cities are composed of neighborhoods', True)
('Some fraud investigators says cities consists of neighborhoods.', 'fraud investigators says cities are composed of neighborhoods', True)
('Some french polishers says cities consists of neighborhoods.', 'french polishers says cities are composed of neighborhoods', True)
('Some fruiterers says cities consists of neighborhoods.', 'fruiterers says cities are composed of neighborhoods', True)
('Some fuel merchants says cities consists of neighborhoods.', 'fuel merchants says cities are composed of neighborhoods', True)
('Some fund raisers says cities consists of neighborhoods.', 'fund raisers says cities are composed of neighborhoods', True)
('Some funeral directors says cities consists of neighborhoods.', 'funeral directors says cities are composed of neighborhoods', True)
('Some funeral furnishers says cities consists of neighborhoods.', 'funeral furnishers says cities are composed of neighborhoods', True)
('Some furnace mans says cities consists of neighborhoods.', 'furnace mans says cities are composed of neighborhoods', True)
('Some furniture dealers says cities consists of neighborhoods.', 'furniture dealers says cities are composed of neighborhoods', True)
('Some furniture removers says cities consists of neighborhoods.', 'furniture removers says cities are composed of neighborhoods', True)
('Some furniture restorers says cities consists of neighborhoods.', 'furniture restorers says cities are composed of neighborhoods', True)
('Some furriers says cities consists of neighborhoods.', 'furriers says cities are composed of neighborhoods', True)
('Some gallery owners says cities consists of neighborhoods.', 'gallery owners says cities are composed of neighborhoods', True)
('Some gamblers says cities consists of neighborhoods.', 'gamblers says cities are composed of neighborhoods', True)
('Some gamekeepers says cities consists of neighborhoods.', 'gamekeepers says cities are composed of neighborhoods', True)
('Some gaming board inspectors says cities consists of neighborhoods.', 'gaming board inspectors says cities are composed of neighborhoods', True)
('Some gaming club managers says cities consists of neighborhoods.', 'gaming club managers says cities are composed of neighborhoods', True)
('Some gaming club proprietors says cities consists of neighborhoods.', 'gaming club proprietors says cities are composed of neighborhoods', True)
('Some garage attendants says cities consists of neighborhoods.', 'garage attendants says cities are composed of neighborhoods', True)
('Some garage foremans says cities consists of neighborhoods.', 'garage foremans says cities are composed of neighborhoods', True)
('Some garage managers says cities consists of neighborhoods.', 'garage managers says cities are composed of neighborhoods', True)
('Some gardas says cities consists of neighborhoods.', 'gardas says cities are composed of neighborhoods', True)
('Some garden designers says cities consists of neighborhoods.', 'garden designers says cities are composed of neighborhoods', True)
('Some gardeners says cities consists of neighborhoods.', 'gardeners says cities are composed of neighborhoods', True)
('Some gas fitters says cities consists of neighborhoods.', 'gas fitters says cities are composed of neighborhoods', True)
('Some gas mechanics says cities consists of neighborhoods.', 'gas mechanics says cities are composed of neighborhoods', True)
('Some gas technicians says cities consists of neighborhoods.', 'gas technicians says cities are composed of neighborhoods', True)
('Some gate keepers says cities consists of neighborhoods.', 'gate keepers says cities are composed of neighborhoods', True)
('Some genealogists says cities consists of neighborhoods.', 'genealogists says cities are composed of neighborhoods', True)
('Some general practitioners says cities consists of neighborhoods.', 'general practitioners says cities are composed of neighborhoods', True)
('Some geologists says cities consists of neighborhoods.', 'geologists says cities are composed of neighborhoods', True)
('Some geophysicists says cities consists of neighborhoods.', 'geophysicists says cities are composed of neighborhoods', True)
('Some gilders says cities consists of neighborhoods.', 'gilders says cities are composed of neighborhoods', True)
('Some glass workers says cities consists of neighborhoods.', 'glass workers says cities are composed of neighborhoods', True)
('Some glaziers says cities consists of neighborhoods.', 'glaziers says cities are composed of neighborhoods', True)
