('A automobile is a vehicle.', 'A automobile is a vehicle.', True)
('A australian mist is a eukaryote.', 'A australian mist is a eukaryote.', True)
('A australian mist is a animal.', 'A australian mist is a animal.', True)
('A australian mist is a cat.', 'A australian mist is a cat.', True)
('A asian cat is a lifeform.', 'A asian cat is a lifeform.', True)
('A asian cat is a eukaryote.', 'A asian cat is a eukaryote.', True)
('A asian cat is a animal.', 'A asian cat is a animal.', True)
('A asian cat is a cat.', 'A asian cat is a cat.', True)
('A asian semi-longhair is a lifeform.', 'A asian semi-longhair is a lifeform.', True)
('A asian semi-longhair is a eukaryote.', 'A asian semi-longhair is a eukaryote.', True)
('A asian semi-longhair is a animal.', 'A asian semi-longhair is a animal.', True)
('A asian semi-longhair is a cat.', 'A asian semi-longhair is a cat.', True)
('A balinese cat is a lifeform.', 'A balinese cat is a lifeform.', True)
('A balinese cat is a eukaryote.', 'A balinese cat is a eukaryote.', True)
('A balinese cat is a animal.', 'A balinese cat is a animal.', True)
('A balinese cat is a cat.', 'A balinese cat is a cat.', True)
('A bambino cat is a lifeform.', 'A bambino cat is a lifeform.', True)
('A bambino cat is a eukaryote.', 'A bambino cat is a eukaryote.', True)
('A bambino cat is a animal.', 'A bambino cat is a animal.', True)
('A bambino cat is a cat.', 'A bambino cat is a cat.', True)
('A bengal cat is a lifeform.', 'A bengal cat is a lifeform.', True)
('A bengal cat is a eukaryote.', 'A bengal cat is a eukaryote.', True)
('A bengal cat is a animal.', 'A bengal cat is a animal.', True)
('A bengal cat is a cat.', 'A bengal cat is a cat.', True)
('A birman is a lifeform.', 'A birman is a lifeform.', True)
('A birman is a eukaryote.', 'A birman is a eukaryote.', True)
('A birman is a animal.', 'A birman is a animal.', True)
('A birman is a cat.', 'A birman is a cat.', True)
('A bombay cat is a lifeform.', 'A bombay cat is a lifeform.', True)
('A bombay cat is a eukaryote.', 'A bombay cat is a eukaryote.', True)
('A bombay cat is a animal.', 'A bombay cat is a animal.', True)
('A bombay cat is a cat.', 'A bombay cat is a cat.', True)
('A brazilian shorthair is a lifeform.', 'A brazilian shorthair is a lifeform.', True)
('A brazilian shorthair is a eukaryote.', 'A brazilian shorthair is a eukaryote.', True)
('A brazilian shorthair is a animal.', 'A brazilian shorthair is a animal.', True)
('A brazilian shorthair is a cat.', 'A brazilian shorthair is a cat.', True)
('A british longhair is a lifeform.', 'A british longhair is a lifeform.', True)
('A british longhair is a eukaryote.', 'A british longhair is a eukaryote.', True)
('A british longhair is a animal.', 'A british longhair is a animal.', True)
('A british longhair is a cat.', 'A british longhair is a cat.', True)
('A british shorthair is a lifeform.', 'A british shorthair is a lifeform.', True)
('A british shorthair is a eukaryote.', 'A british shorthair is a eukaryote.', True)
('A british shorthair is a animal.', 'A british shorthair is a animal.', True)
('A british shorthair is a cat.', 'A british shorthair is a cat.', True)
('A british longhair is a lifeform.', 'A british longhair is a lifeform.', True)
('A british longhair is a eukaryote.', 'A british longhair is a eukaryote.', True)
('A british longhair is a animal.', 'A british longhair is a animal.', True)
('A british longhair is a cat.', 'A british longhair is a cat.', True)
('A burmese cat is a lifeform.', 'A burmese cat is a lifeform.', True)
('A burmese cat is a eukaryote.', 'A burmese cat is a eukaryote.', True)
('A burmese cat is a animal.', 'A burmese cat is a animal.', True)
('A burmese cat is a cat.', 'A burmese cat is a cat.', True)
('A burmilla is a lifeform.', 'A burmilla is a lifeform.', True)
('A burmilla is a eukaryote.', 'A burmilla is a eukaryote.', True)
('A burmilla is a animal.', 'A burmilla is a animal.', True)
('A burmilla is a cat.', 'A burmilla is a cat.', True)
('A california spangled is a lifeform.', 'A california spangled is a lifeform.', True)
('A california spangled is a eukaryote.', 'A california spangled is a eukaryote.', True)
('A california spangled is a animal.', 'A california spangled is a animal.', True)
('A california spangled is a cat.', 'A california spangled is a cat.', True)
('A chantilly-tiffany is a lifeform.', 'A chantilly-tiffany is a lifeform.', True)
('A chantilly-tiffany is a eukaryote.', 'A chantilly-tiffany is a eukaryote.', True)
('A chantilly-tiffany is a animal.', 'A chantilly-tiffany is a animal.', True)
('A chantilly-tiffany is a cat.', 'A chantilly-tiffany is a cat.', True)
('A chartreux is a lifeform.', 'A chartreux is a lifeform.', True)
('A chartreux is a eukaryote.', 'A chartreux is a eukaryote.', True)
('A chartreux is a animal.', 'A chartreux is a animal.', True)
('A chartreux is a cat.', 'A chartreux is a cat.', True)
('A chausie is a lifeform.', 'A chausie is a lifeform.', True)
('A chausie is a eukaryote.', 'A chausie is a eukaryote.', True)
('A chausie is a animal.', 'A chausie is a animal.', True)
('A chausie is a cat.', 'A chausie is a cat.', True)
('A cheetoh cat is a lifeform.', 'A cheetoh cat is a lifeform.', True)
('A cheetoh cat is a eukaryote.', 'A cheetoh cat is a eukaryote.', True)
('A cheetoh cat is a animal.', 'A cheetoh cat is a animal.', True)
('A cheetoh cat is a cat.', 'A cheetoh cat is a cat.', True)
('A colorpoint shorthair is a lifeform.', 'A colorpoint shorthair is a lifeform.', True)
('A colorpoint shorthair is a eukaryote.', 'A colorpoint shorthair is a eukaryote.', True)
('A colorpoint shorthair is a animal.', 'A colorpoint shorthair is a animal.', True)
('A colorpoint shorthair is a cat.', 'A colorpoint shorthair is a cat.', True)
('A cornish rex is a lifeform.', 'A cornish rex is a lifeform.', True)
('A cornish rex is a eukaryote.', 'A cornish rex is a eukaryote.', True)
('A cornish rex is a animal.', 'A cornish rex is a animal.', True)
('A cornish rex is a cat.', 'A cornish rex is a cat.', True)
('A cymric cat is a lifeform.', 'A cymric cat is a lifeform.', True)
('A cymric cat is a eukaryote.', 'A cymric cat is a eukaryote.', True)
('A cymric cat is a animal.', 'A cymric cat is a animal.', True)
('A cymric cat is a cat.', 'A cymric cat is a cat.', True)
('A cyprus cat is a lifeform.', 'A cyprus cat is a lifeform.', True)
('A cyprus cat is a eukaryote.', 'A cyprus cat is a eukaryote.', True)
('A cyprus cat is a animal.', 'A cyprus cat is a animal.', True)
('A cyprus cat is a cat.', 'A cyprus cat is a cat.', True)
('A devon rex is a lifeform.', 'A devon rex is a lifeform.', True)
('A devon rex is a eukaryote.', 'A devon rex is a eukaryote.', True)
('A devon rex is a animal.', 'A devon rex is a animal.', True)
('A devon rex is a cat.', 'A devon rex is a cat.', True)
('A donskoy cat is a lifeform.', 'A donskoy cat is a lifeform.', True)
('A donskoy cat is a eukaryote.', 'A donskoy cat is a eukaryote.', True)
('A donskoy cat is a animal.', 'A donskoy cat is a animal.', True)
('A donskoy cat is a cat.', 'A donskoy cat is a cat.', True)
('A dragon li is a lifeform.', 'A dragon li is a lifeform.', True)
('A dragon li is a eukaryote.', 'A dragon li is a eukaryote.', True)
('A dragon li is a animal.', 'A dragon li is a animal.', True)
('A dragon li is a cat.', 'A dragon li is a cat.', True)
('A dwarf cat is a lifeform.', 'A dwarf cat is a lifeform.', True)
('A dwarf cat is a eukaryote.', 'A dwarf cat is a eukaryote.', True)
('A dwarf cat is a animal.', 'A dwarf cat is a animal.', True)
('A dwarf cat is a cat.', 'A dwarf cat is a cat.', True)
('A egyptian mau is a lifeform.', 'A egyptian mau is a lifeform.', True)
('A egyptian mau is a eukaryote.', 'A egyptian mau is a eukaryote.', True)
('A egyptian mau is a animal.', 'A egyptian mau is a animal.', True)
('A egyptian mau is a cat.', 'A egyptian mau is a cat.', True)
('A european shorthair is a lifeform.', 'A european shorthair is a lifeform.', True)
('A european shorthair is a eukaryote.', 'A european shorthair is a eukaryote.', True)
('A european shorthair is a animal.', 'A european shorthair is a animal.', True)
('A european shorthair is a cat.', 'A european shorthair is a cat.', True)
('A exotic shorthair is a lifeform.', 'A exotic shorthair is a lifeform.', True)
('A exotic shorthair is a eukaryote.', 'A exotic shorthair is a eukaryote.', True)
('A exotic shorthair is a animal.', 'A exotic shorthair is a animal.', True)
('A exotic shorthair is a cat.', 'A exotic shorthair is a cat.', True)
('A german rex is a lifeform.', 'A german rex is a lifeform.', True)
('A german rex is a eukaryote.', 'A german rex is a eukaryote.', True)
('A german rex is a animal.', 'A german rex is a animal.', True)
('A german rex is a cat.', 'A german rex is a cat.', True)
('A havana brown is a lifeform.', 'A havana brown is a lifeform.', True)
('A havana brown is a eukaryote.', 'A havana brown is a eukaryote.', True)
('A havana brown is a animal.', 'A havana brown is a animal.', True)
('A havana brown is a cat.', 'A havana brown is a cat.', True)
('A highlander cat is a lifeform.', 'A highlander cat is a lifeform.', True)
('A highlander cat is a eukaryote.', 'A highlander cat is a eukaryote.', True)
('A highlander cat is a animal.', 'A highlander cat is a animal.', True)
('A highlander cat is a cat.', 'A highlander cat is a cat.', True)
('A himalayan cat is a lifeform.', 'A himalayan cat is a lifeform.', True)
('A himalayan cat is a eukaryote.', 'A himalayan cat is a eukaryote.', True)
('A himalayan cat is a animal.', 'A himalayan cat is a animal.', True)
('A himalayan cat is a cat.', 'A himalayan cat is a cat.', True)
('A japanese bobtail is a lifeform.', 'A japanese bobtail is a lifeform.', True)
('A japanese bobtail is a eukaryote.', 'A japanese bobtail is a eukaryote.', True)
('A japanese bobtail is a animal.', 'A japanese bobtail is a animal.', True)
('A japanese bobtail is a cat.', 'A japanese bobtail is a cat.', True)
('A javanese cat is a lifeform.', 'A javanese cat is a lifeform.', True)
('A javanese cat is a eukaryote.', 'A javanese cat is a eukaryote.', True)
('A javanese cat is a animal.', 'A javanese cat is a animal.', True)
('A javanese cat is a cat.', 'A javanese cat is a cat.', True)
('A kurilian bobtail is a lifeform.', 'A kurilian bobtail is a lifeform.', True)
('A kurilian bobtail is a eukaryote.', 'A kurilian bobtail is a eukaryote.', True)
('A kurilian bobtail is a animal.', 'A kurilian bobtail is a animal.', True)
('A kurilian bobtail is a cat.', 'A kurilian bobtail is a cat.', True)
('A khao manee is a lifeform.', 'A khao manee is a lifeform.', True)
('A khao manee is a eukaryote.', 'A khao manee is a eukaryote.', True)
('A khao manee is a animal.', 'A khao manee is a animal.', True)
('A khao manee is a cat.', 'A khao manee is a cat.', True)
('A korat is a lifeform.', 'A korat is a lifeform.', True)
('A korat is a eukaryote.', 'A korat is a eukaryote.', True)
('A korat is a animal.', 'A korat is a animal.', True)
('A korat is a cat.', 'A korat is a cat.', True)
('A korean bobtail is a lifeform.', 'A korean bobtail is a lifeform.', True)
('A korean bobtail is a eukaryote.', 'A korean bobtail is a eukaryote.', True)
('A korean bobtail is a animal.', 'A korean bobtail is a animal.', True)
('A korean bobtail is a cat.', 'A korean bobtail is a cat.', True)
('A korn ja is a lifeform.', 'A korn ja is a lifeform.', True)
('A korn ja is a eukaryote.', 'A korn ja is a eukaryote.', True)
('A korn ja is a animal.', 'A korn ja is a animal.', True)
('A korn ja is a cat.', 'A korn ja is a cat.', True)
('A kurilian bobtail is a lifeform.', 'A kurilian bobtail is a lifeform.', True)
('A kurilian bobtail is a eukaryote.', 'A kurilian bobtail is a eukaryote.', True)
('A kurilian bobtail is a animal.', 'A kurilian bobtail is a animal.', True)
('A kurilian bobtail is a cat.', 'A kurilian bobtail is a cat.', True)
('A laperm is a lifeform.', 'A laperm is a lifeform.', True)
('A laperm is a eukaryote.', 'A laperm is a eukaryote.', True)
('A laperm is a animal.', 'A laperm is a animal.', True)
('A laperm is a cat.', 'A laperm is a cat.', True)
('A lykoi is a lifeform.', 'A lykoi is a lifeform.', True)
('A lykoi is a eukaryote.', 'A lykoi is a eukaryote.', True)
('A lykoi is a animal.', 'A lykoi is a animal.', True)
('A lykoi is a cat.', 'A lykoi is a cat.', True)
('A maine coon is a lifeform.', 'A maine coon is a lifeform.', True)
('A maine coon is a eukaryote.', 'A maine coon is a eukaryote.', True)
('A maine coon is a animal.', 'A maine coon is a animal.', True)
('A maine coon is a cat.', 'A maine coon is a cat.', True)
('A manx cat is a lifeform.', 'A manx cat is a lifeform.', True)
('A manx cat is a eukaryote.', 'A manx cat is a eukaryote.', True)
('A manx cat is a animal.', 'A manx cat is a animal.', True)
('A manx cat is a cat.', 'A manx cat is a cat.', True)
('A mekong bobtail is a lifeform.', 'A mekong bobtail is a lifeform.', True)
('A mekong bobtail is a eukaryote.', 'A mekong bobtail is a eukaryote.', True)
('A mekong bobtail is a animal.', 'A mekong bobtail is a animal.', True)
('A mekong bobtail is a cat.', 'A mekong bobtail is a cat.', True)
('A minskin is a lifeform.', 'A minskin is a lifeform.', True)
('A minskin is a eukaryote.', 'A minskin is a eukaryote.', True)
('A minskin is a animal.', 'A minskin is a animal.', True)
('A minskin is a cat.', 'A minskin is a cat.', True)
('A munchkin cat is a lifeform.', 'A munchkin cat is a lifeform.', True)
('A munchkin cat is a eukaryote.', 'A munchkin cat is a eukaryote.', True)
('A munchkin cat is a animal.', 'A munchkin cat is a animal.', True)
('A munchkin cat is a cat.', 'A munchkin cat is a cat.', True)
('A nebelung is a lifeform.', 'A nebelung is a lifeform.', True)
('A nebelung is a eukaryote.', 'A nebelung is a eukaryote.', True)
('A nebelung is a animal.', 'A nebelung is a animal.', True)
('A nebelung is a cat.', 'A nebelung is a cat.', True)
('A napoleon cat is a lifeform.', 'A napoleon cat is a lifeform.', True)
('A napoleon cat is a eukaryote.', 'A napoleon cat is a eukaryote.', True)
('A napoleon cat is a animal.', 'A napoleon cat is a animal.', True)
('A napoleon cat is a cat.', 'A napoleon cat is a cat.', True)
('A norwegian forest cat is a lifeform.', 'A norwegian forest cat is a lifeform.', True)
('A norwegian forest cat is a eukaryote.', 'A norwegian forest cat is a eukaryote.', True)
('A norwegian forest cat is a animal.', 'A norwegian forest cat is a animal.', True)
('A norwegian forest cat is a cat.', 'A norwegian forest cat is a cat.', True)
('A ocicat is a lifeform.', 'A ocicat is a lifeform.', True)
('A ocicat is a eukaryote.', 'A ocicat is a eukaryote.', True)
('A ocicat is a animal.', 'A ocicat is a animal.', True)
('A ocicat is a cat.', 'A ocicat is a cat.', True)
('A ojos azules is a lifeform.', 'A ojos azules is a lifeform.', True)
('A ojos azules is a eukaryote.', 'A ojos azules is a eukaryote.', True)
('A ojos azules is a animal.', 'A ojos azules is a animal.', True)
('A ojos azules is a cat.', 'A ojos azules is a cat.', True)
('A oregon rex is a lifeform.', 'A oregon rex is a lifeform.', True)
('A oregon rex is a eukaryote.', 'A oregon rex is a eukaryote.', True)
('A oregon rex is a animal.', 'A oregon rex is a animal.', True)
('A oregon rex is a cat.', 'A oregon rex is a cat.', True)
('A oriental bicolor is a lifeform.', 'A oriental bicolor is a lifeform.', True)
('A oriental bicolor is a eukaryote.', 'A oriental bicolor is a eukaryote.', True)
('A oriental bicolor is a animal.', 'A oriental bicolor is a animal.', True)
('A oriental bicolor is a cat.', 'A oriental bicolor is a cat.', True)
('A oriental shorthair is a lifeform.', 'A oriental shorthair is a lifeform.', True)
('A oriental shorthair is a eukaryote.', 'A oriental shorthair is a eukaryote.', True)
('A oriental shorthair is a animal.', 'A oriental shorthair is a animal.', True)
('A oriental shorthair is a cat.', 'A oriental shorthair is a cat.', True)
('A oriental longhair is a lifeform.', 'A oriental longhair is a lifeform.', True)
('A oriental longhair is a eukaryote.', 'A oriental longhair is a eukaryote.', True)
('A oriental longhair is a animal.', 'A oriental longhair is a animal.', True)
('A oriental longhair is a cat.', 'A oriental longhair is a cat.', True)
('A perfold cat (experimental breed - wcf) is a lifeform.', 'A perfold cat (experimental breed - wcf) is a lifeform.', True)
('A perfold cat (experimental breed - wcf) is a eukaryote.', 'A perfold cat (experimental breed - wcf) is a eukaryote.', True)
