('The turtle is in the milky way galaxy.', 'The turtle is in the universe.', True)
('The kookabura is in arizona.', 'The kookabura is in the universe.', True)
('The red panda is in arizona.', 'The red panda is in the milky way galaxy.', True)
('The ant is in arizona.', 'The ant is in our solar system.', True)
('The ant is in arizona.', 'The ant is on earth.', True)
('The newt is in arizona.', 'The newt is in north america.', True)
('The panther is in arizona.', 'The panther is in the united states of america.', True)
('The hyena is in arkansas.', 'The hyena is in the universe.', True)
('The stingray is in arkansas.', 'The stingray is in the milky way galaxy.', True)
('The walrus is in arkansas.', 'The walrus is in our solar system.', True)
('The gerbil is in arkansas.', 'The gerbil is on earth.', True)
('The okapi is in arkansas.', 'The okapi is in north america.', True)
('The zebra is in arkansas.', 'The zebra is in the united states of america.', True)
('The trout is in california.', 'The trout is in the universe.', True)
('The parrot is in california.', 'The parrot is in the milky way galaxy.', True)
('The wallaby is in california.', 'The wallaby is in our solar system.', True)
('The pelican is in california.', 'The pelican is on earth.', True)
('The shrew is in california.', 'The shrew is in north america.', True)
('The wasp is in california.', 'The wasp is in the united states of america.', True)
('The cattle is in san francisco.', 'The cattle is in the universe.', True)
('The snake is in san francisco.', 'The snake is in the milky way galaxy.', True)
('The goldfinch is in san francisco.', 'The goldfinch is in our solar system.', True)
('The kouprey is in san francisco.', 'The kouprey is on earth.', True)
('The dolphin is in san francisco.', 'The dolphin is in north america.', True)
('The sheep is in san francisco.', 'The sheep is in the united states of america.', True)
('The ibex is in san francisco.', 'The ibex is in california.', True)
('The pheasant is in san diego.', 'The pheasant is in the universe.', True)
('The leopard is in san diego.', 'The leopard is in the milky way galaxy.', True)
('The worm is in san diego.', 'The worm is in our solar system.', True)
('The grasshopper is in san diego.', 'The grasshopper is on earth.', True)
('The trout is in san diego.', 'The trout is in north america.', True)
('The shrew is in san diego.', 'The shrew is in the united states of america.', True)
('The kudu is in san diego.', 'The kudu is in california.', True)
('The swan is in los angeles.', 'The swan is in the universe.', True)
('The jaguar is in los angeles.', 'The jaguar is in the milky way galaxy.', True)
('The dunlin is in los angeles.', 'The dunlin is in our solar system.', True)
('The hedgehog is in los angeles.', 'The hedgehog is on earth.', True)
('The emu is in los angeles.', 'The emu is in north america.', True)
('The crane is in los angeles.', 'The crane is in the united states of america.', True)
('The mule is in los angeles.', 'The mule is in california.', True)
('The stinkbug is in santa barbara.', 'The stinkbug is in the universe.', True)
('The hummingbird is in santa barbara.', 'The hummingbird is in the milky way galaxy.', True)
('The hedgehog is in santa barbara.', 'The hedgehog is in our solar system.', True)
('The ostrich is in santa barbara.', 'The ostrich is on earth.', True)
('The barracuda is in santa barbara.', 'The barracuda is in north america.', True)
('The lyrebird is in santa barbara.', 'The lyrebird is in the united states of america.', True)
('The mandrill is in santa barbara.', 'The mandrill is in california.', True)
('The barracuda is in colorado.', 'The barracuda is in the universe.', True)
('The spider is in colorado.', 'The spider is in the milky way galaxy.', True)
('The weasel is in colorado.', 'The weasel is in our solar system.', True)
('The cat is in colorado.', 'The cat is on earth.', True)
('The dotterel is in colorado.', 'The dotterel is in north america.', True)
('The lobster is in colorado.', 'The lobster is in the united states of america.', True)
('The penguin is in connecticut.', 'The penguin is in the universe.', True)
('The dog is in connecticut.', 'The dog is in the milky way galaxy.', True)
('The eel is in connecticut.', 'The eel is in our solar system.', True)
('The shrew is in connecticut.', 'The shrew is on earth.', True)
('The walrus is in connecticut.', 'The walrus is in north america.', True)
('The crab is in connecticut.', 'The crab is in the united states of america.', True)
('The porpoise is in delaware.', 'The porpoise is in the universe.', True)
('The echidna is in delaware.', 'The echidna is in the milky way galaxy.', True)
('The alpaca is in delaware.', 'The alpaca is in our solar system.', True)
('The grouse is in delaware.', 'The grouse is on earth.', True)
('The gnu is in delaware.', 'The gnu is in north america.', True)
('The koala is in delaware.', 'The koala is in the united states of america.', True)
('The monkey is in the district of columbia.', 'The monkey is in the universe.', True)
('The grasshopper is in the district of columbia.', 'The grasshopper is in the milky way galaxy.', True)
('The quetzal is in the district of columbia.', 'The quetzal is in our solar system.', True)
('The ostrich is in the district of columbia.', 'The ostrich is on earth.', True)
('The heron is in the district of columbia.', 'The heron is in north america.', True)
('The dolphin is in the district of columbia.', 'The dolphin is in the united states of america.', True)
('The seal is in florida.', 'The seal is in the universe.', True)
('The magpie is in florida.', 'The magpie is in the milky way galaxy.', True)
('The wasp is in florida.', 'The wasp is in our solar system.', True)
('The caribou is in florida.', 'The caribou is on earth.', True)
('The cormorant is in florida.', 'The cormorant is in north america.', True)
('The ostrich is in florida.', 'The ostrich is in the united states of america.', True)
('The stork is in georgia.', 'The stork is in the universe.', True)
('The armadillo is in georgia.', 'The armadillo is in the milky way galaxy.', True)
('The elephant is in georgia.', 'The elephant is in our solar system.', True)
('The louse is in georgia.', 'The louse is on earth.', True)
('The stork is in georgia.', 'The stork is in north america.', True)
('The heron is in georgia.', 'The heron is in the united states of america.', True)
('The sparrow is in guam.', 'The sparrow is in the universe.', True)
('The wren is in guam.', 'The wren is in the milky way galaxy.', True)
('The dolphin is in guam.', 'The dolphin is in our solar system.', True)
('The squid is in guam.', 'The squid is on earth.', True)
('The crab is in guam.', 'The crab is in north america.', True)
('The clam is in guam.', 'The clam is in the united states of america.', True)
('The kouprey is in hawaii.', 'The kouprey is in the universe.', True)
('The albatross is in hawaii.', 'The albatross is in the milky way galaxy.', True)
('The cormorant is in hawaii.', 'The cormorant is in our solar system.', True)
('The turtle is in hawaii.', 'The turtle is on earth.', True)
('The quail is in hawaii.', 'The quail is in north america.', True)
('The wolverine is in hawaii.', 'The wolverine is in the united states of america.', True)
('The otter is in idaho.', 'The otter is in the universe.', True)
('The monkey is in idaho.', 'The monkey is in the milky way galaxy.', True)
('The turkey is in idaho.', 'The turkey is in our solar system.', True)
('The worm is in idaho.', 'The worm is on earth.', True)
('The seahorse is in idaho.', 'The seahorse is in north america.', True)
('The bee is in idaho.', 'The bee is in the united states of america.', True)
('The hedgehog is in illinois.', 'The hedgehog is in the universe.', True)
('The mink is in illinois.', 'The mink is in the milky way galaxy.', True)
('The jackal is in illinois.', 'The jackal is in our solar system.', True)
('The salamander is in illinois.', 'The salamander is on earth.', True)
('The duck is in illinois.', 'The duck is in north america.', True)
('The jellyfish is in illinois.', 'The jellyfish is in the united states of america.', True)
('The vulture is in chicago.', 'The vulture is in the universe.', True)
('The rabbit is in chicago.', 'The rabbit is in the milky way galaxy.', True)
('The pheasant is in chicago.', 'The pheasant is in our solar system.', True)
('The elk is in chicago.', 'The elk is on earth.', True)
('The leopard is in chicago.', 'The leopard is in north america.', True)
('The cod is in chicago.', 'The cod is in the united states of america.', True)
('The ostrich is in chicago.', 'The ostrich is in illinois.', True)
('The moose is in indiana.', 'The moose is in the universe.', True)
('The seal is in indiana.', 'The seal is in the milky way galaxy.', True)
('The cheetah is in indiana.', 'The cheetah is in our solar system.', True)
('The red panda is in indiana.', 'The red panda is on earth.', True)
('The mongoose is in indiana.', 'The mongoose is in north america.', True)
('The sparrow is in indiana.', 'The sparrow is in the united states of america.', True)
('The kookabura is in indianapolis.', 'The kookabura is in the universe.', True)
('The yak is in indianapolis.', 'The yak is in the milky way galaxy.', True)
('The donkey is in indianapolis.', 'The donkey is in our solar system.', True)
('The salmon is in indianapolis.', 'The salmon is on earth.', True)
('The woodpecker is in indianapolis.', 'The woodpecker is in north america.', True)
('The oyster is in indianapolis.', 'The oyster is in the united states of america.', True)
('The tarsier is in indianapolis.', 'The tarsier is in indiana.', True)
('The leopard is in lafayette.', 'The leopard is in the universe.', True)
('The fox is in lafayette.', 'The fox is in the milky way galaxy.', True)
('The squirrel is in lafayette.', 'The squirrel is in our solar system.', True)
('The turtle is in lafayette.', 'The turtle is on earth.', True)
('The camel is in lafayette.', 'The camel is in north america.', True)
('The antelope is in lafayette.', 'The antelope is in the united states of america.', True)
('The wombat is in lafayette.', 'The wombat is in indiana.', True)
('The rook is in purdue university.', 'The rook is in the universe.', True)
('The wallaby is in purdue university.', 'The wallaby is in the milky way galaxy.', True)
('The newt is in purdue university.', 'The newt is in our solar system.', True)
('The starling is in purdue university.', 'The starling is on earth.', True)
('The ant is in purdue university.', 'The ant is in north america.', True)
('The hamster is in purdue university.', 'The hamster is in the united states of america.', True)
('The tiger is in purdue university.', 'The tiger is in indiana.', True)
('The tarsier is in iowa.', 'The tarsier is in the universe.', True)
('The coyote is in iowa.', 'The coyote is in the milky way galaxy.', True)
('The walrus is in iowa.', 'The walrus is in our solar system.', True)
('The crow is in iowa.', 'The crow is on earth.', True)
('The eagle is in iowa.', 'The eagle is in north america.', True)
('The viper is in iowa.', 'The viper is in the united states of america.', True)
('The crab is in kansas.', 'The crab is in the universe.', True)
('The goose is in kansas.', 'The goose is in the milky way galaxy.', True)
('The raccoon is in kansas.', 'The raccoon is in our solar system.', True)
('The partridge is in kansas.', 'The partridge is on earth.', True)
('The oyster is in kansas.', 'The oyster is in north america.', True)
('The gnat is in kansas.', 'The gnat is in the united states of america.', True)
('The ant is in kentucky.', 'The ant is in the universe.', True)
('The woodpecker is in kentucky.', 'The woodpecker is in the milky way galaxy.', True)
('The opossum is in kentucky.', 'The opossum is in our solar system.', True)
('The lobster is in kentucky.', 'The lobster is on earth.', True)
('The falcon is in kentucky.', 'The falcon is in north america.', True)
('The kookabura is in kentucky.', 'The kookabura is in the united states of america.', True)
('The goshawk is in louisiana.', 'The goshawk is in the universe.', True)
('The squirrel is in louisiana.', 'The squirrel is in the milky way galaxy.', True)
('The gnu is in louisiana.', 'The gnu is in our solar system.', True)
('The elk is in louisiana.', 'The elk is on earth.', True)
('The scorpion is in louisiana.', 'The scorpion is in north america.', True)
('The spider is in louisiana.', 'The spider is in the united states of america.', True)
('The cod is in maine.', 'The cod is in the universe.', True)
('The zebra is in maine.', 'The zebra is in the milky way galaxy.', True)
('The goldfish is in maine.', 'The goldfish is in our solar system.', True)
('The dogfish is in maine.', 'The dogfish is on earth.', True)
('The cormorant is in maine.', 'The cormorant is in north america.', True)
('The capybara is in maine.', 'The capybara is in the united states of america.', True)
('The butterfly is in maryland.', 'The butterfly is in the universe.', True)
('The rook is in maryland.', 'The rook is in the milky way galaxy.', True)
('The starling is in maryland.', 'The starling is in our solar system.', True)
('The antelope is in maryland.', 'The antelope is on earth.', True)
('The capybara is in maryland.', 'The capybara is in north america.', True)
('The whale is in maryland.', 'The whale is in the united states of america.', True)
('The hare is in massachusetts.', 'The hare is in the universe.', True)
('The herring is in massachusetts.', 'The herring is in the milky way galaxy.', True)
('The wolverine is in massachusetts.', 'The wolverine is in our solar system.', True)
('The mole is in massachusetts.', 'The mole is on earth.', True)
('The leopard is in massachusetts.', 'The leopard is in north america.', True)
('The pheasant is in massachusetts.', 'The pheasant is in the united states of america.', True)
('The sheep is in michigan.', 'The sheep is in the universe.', True)
('The alpaca is in michigan.', 'The alpaca is in the milky way galaxy.', True)
('The pheasant is in michigan.', 'The pheasant is in our solar system.', True)
('The alligator is in michigan.', 'The alligator is on earth.', True)
('The gnu is in michigan.', 'The gnu is in north america.', True)
('The tarsier is in michigan.', 'The tarsier is in the united states of america.', True)
('The newt is in minnesota.', 'The newt is in the universe.', True)
('The worm is in minnesota.', 'The worm is in the milky way galaxy.', True)
('The cassowary is in minnesota.', 'The cassowary is in our solar system.', True)
('The wasp is in minnesota.', 'The wasp is on earth.', True)
('The goldfish is in minnesota.', 'The goldfish is in north america.', True)
('The ibex is in minnesota.', 'The ibex is in the united states of america.', True)
('The fly is in mississippi.', 'The fly is in the universe.', True)
('The snake is in mississippi.', 'The snake is in the milky way galaxy.', True)
('The buffalo is in mississippi.', 'The buffalo is in our solar system.', True)
('The cattle is in mississippi.', 'The cattle is on earth.', True)
('The flamingo is in mississippi.', 'The flamingo is in north america.', True)
('The chough is in mississippi.', 'The chough is in the united states of america.', True)
('The elephant is in missouri.', 'The elephant is in the universe.', True)
('The newt is in missouri.', 'The newt is in the milky way galaxy.', True)
('The clam is in missouri.', 'The clam is in our solar system.', True)
('The pony is in missouri.', 'The pony is on earth.', True)
('The turkey is in missouri.', 'The turkey is in north america.', True)
('The spider is in missouri.', 'The spider is in the united states of america.', True)
('The wasp is in montana.', 'The wasp is in the universe.', True)
('The albatross is in montana.', 'The albatross is in the milky way galaxy.', True)
('The gorilla is in montana.', 'The gorilla is in our solar system.', True)
('The porcupine is in montana.', 'The porcupine is on earth.', True)
('The pig is in montana.', 'The pig is in north america.', True)
('The goat is in montana.', 'The goat is in the united states of america.', True)
('The fish is in nebraska.', 'The fish is in the universe.', True)
('The chicken is in nebraska.', 'The chicken is in the milky way galaxy.', True)
('The crow is in nebraska.', 'The crow is in our solar system.', True)
('The mink is in nebraska.', 'The mink is on earth.', True)
('The ibis is in nebraska.', 'The ibis is in north america.', True)
('The clam is in nebraska.', 'The clam is in the united states of america.', True)
('The reindeer is in nevada.', 'The reindeer is in the universe.', True)
('The dotterel is in nevada.', 'The dotterel is in the milky way galaxy.', True)
('The hyena is in nevada.', 'The hyena is in our solar system.', True)
('The kangaroo is in nevada.', 'The kangaroo is on earth.', True)
('The bison is in nevada.', 'The bison is in north america.', True)
('The goshawk is in nevada.', 'The goshawk is in the united states of america.', True)
('The goshawk is in new hampshire.', 'The goshawk is in the universe.', True)
('The dolphin is in new hampshire.', 'The dolphin is in the milky way galaxy.', True)
('The crane is in new hampshire.', 'The crane is in our solar system.', True)
('The rhinoceros is in new hampshire.', 'The rhinoceros is on earth.', True)
('The oryx is in new hampshire.', 'The oryx is in north america.', True)
('The lark is in new hampshire.', 'The lark is in the united states of america.', True)
('The manatee is in new jersey.', 'The manatee is in the universe.', True)
('The deer is in new jersey.', 'The deer is in the milky way galaxy.', True)
('The seal is in new jersey.', 'The seal is in our solar system.', True)
('The duck is in new jersey.', 'The duck is on earth.', True)
('The gull is in new jersey.', 'The gull is in north america.', True)
('The dinosaur is in new jersey.', 'The dinosaur is in the united states of america.', True)
('The sand dollar is in new mexico.', 'The sand dollar is in the universe.', True)
('The starling is in new mexico.', 'The starling is in the milky way galaxy.', True)
('The gazelle is in new mexico.', 'The gazelle is in our solar system.', True)
('The reindeer is in new mexico.', 'The reindeer is on earth.', True)
('The woodcock is in new mexico.', 'The woodcock is in north america.', True)
('The capybara is in new mexico.', 'The capybara is in the united states of america.', True)
('The ferret is in new york.', 'The ferret is in the universe.', True)
('The woodpecker is in new york.', 'The woodpecker is in the milky way galaxy.', True)
('The herring is in new york.', 'The herring is in our solar system.', True)
('The wolverine is in new york.', 'The wolverine is on earth.', True)
('The crocodile is in new york.', 'The crocodile is in north america.', True)
('The red panda is in new york.', 'The red panda is in the united states of america.', True)
('The monkey is in new york city.', 'The monkey is in the universe.', True)
('The nightingale is in new york city.', 'The nightingale is in the milky way galaxy.', True)
('The salmon is in new york city.', 'The salmon is in our solar system.', True)
('The lemur is in new york city.', 'The lemur is on earth.', True)
('The beaver is in new york city.', 'The beaver is in north america.', True)
('The cat is in new york city.', 'The cat is in the united states of america.', True)
('The red panda is in new york city.', 'The red panda is in new york.', True)
('The rook is in the bronx.', 'The rook is in the universe.', True)
('The goldfinch is in the bronx.', 'The goldfinch is in the milky way galaxy.', True)
('The owl is in the bronx.', 'The owl is in our solar system.', True)
('The wombat is in the bronx.', 'The wombat is on earth.', True)
('The eagle is in the bronx.', 'The eagle is in north america.', True)
('The cobra is in the bronx.', 'The cobra is in the united states of america.', True)
('The mole is in the bronx.', 'The mole is in new york.', True)
('The hornet is in the bronx.', 'The hornet is in new york city.', True)
('The tapir is in manhattan.', 'The tapir is in the universe.', True)
('The aardvark is in manhattan.', 'The aardvark is in the milky way galaxy.', True)
('The coyote is in manhattan.', 'The coyote is in our solar system.', True)
('The shrew is in manhattan.', 'The shrew is on earth.', True)
('The elk is in manhattan.', 'The elk is in north america.', True)
('The quetzal is in manhattan.', 'The quetzal is in the united states of america.', True)
('The gazelle is in manhattan.', 'The gazelle is in new york.', True)
('The woodpecker is in manhattan.', 'The woodpecker is in new york city.', True)
('The emu is in brooklyn.', 'The emu is in the universe.', True)
('The panther is in brooklyn.', 'The panther is in the milky way galaxy.', True)
('The red deer is in brooklyn.', 'The red deer is in our solar system.', True)
('The capybara is in brooklyn.', 'The capybara is on earth.', True)
('The dunlin is in brooklyn.', 'The dunlin is in north america.', True)
('The antelope is in brooklyn.', 'The antelope is in the united states of america.', True)
('The ibex is in brooklyn.', 'The ibex is in new york.', True)
('The mule is in brooklyn.', 'The mule is in new york city.', True)
('The cat is in queens.', 'The cat is in the universe.', True)
('The narwhal is in queens.', 'The narwhal is in the milky way galaxy.', True)
('The ferret is in queens.', 'The ferret is in our solar system.', True)
('The herring is in queens.', 'The herring is on earth.', True)
('The crocodile is in queens.', 'The crocodile is in north america.', True)
('The dove is in queens.', 'The dove is in the united states of america.', True)
('The panther is in queens.', 'The panther is in new york.', True)
('The lapwing is in queens.', 'The lapwing is in new york city.', True)
('The lemur is in staten island.', 'The lemur is in the universe.', True)
('The cattle is in staten island.', 'The cattle is in the milky way galaxy.', True)
('The tiger is in staten island.', 'The tiger is in our solar system.', True)
('The ram is in staten island.', 'The ram is on earth.', True)
('The loris is in staten island.', 'The loris is in north america.', True)
('The kangaroo is in staten island.', 'The kangaroo is in the united states of america.', True)
('The lapwing is in staten island.', 'The lapwing is in new york.', True)
('The otter is in staten island.', 'The otter is in new york city.', True)
('The herring is in north carolina.', 'The herring is in the universe.', True)
('The deer is in north carolina.', 'The deer is in the milky way galaxy.', True)
('The kookabura is in north carolina.', 'The kookabura is in our solar system.', True)
('The eel is in north carolina.', 'The eel is on earth.', True)
('The wolf is in north carolina.', 'The wolf is in north america.', True)
('The hedgehog is in north carolina.', 'The hedgehog is in the united states of america.', True)
('The wildcat is in north dakota.', 'The wildcat is in the universe.', True)
('The cormorant is in north dakota.', 'The cormorant is in the milky way galaxy.', True)
('The chicken is in north dakota.', 'The chicken is in our solar system.', True)
('The pigeon is in north dakota.', 'The pigeon is on earth.', True)
('The starling is in north dakota.', 'The starling is in north america.', True)
('The gull is in north dakota.', 'The gull is in the united states of america.', True)
('The gull is in ohio.', 'The gull is in the universe.', True)
('The echidna is in ohio.', 'The echidna is in the milky way galaxy.', True)
('The chinchilla is in ohio.', 'The chinchilla is in our solar system.', True)
('The eagle is in ohio.', 'The eagle is on earth.', True)
('The frog is in ohio.', 'The frog is in north america.', True)
('The tiger is in ohio.', 'The tiger is in the united states of america.', True)
('The squirrel is in oklahoma.', 'The squirrel is in the universe.', True)
('The louse is in oklahoma.', 'The louse is in the milky way galaxy.', True)
('The hawk is in oklahoma.', 'The hawk is in our solar system.', True)
('The loris is in oklahoma.', 'The loris is on earth.', True)
('The worm is in oklahoma.', 'The worm is in north america.', True)
('The porpoise is in oklahoma.', 'The porpoise is in the united states of america.', True)
('The rabbit is in oregon.', 'The rabbit is in the universe.', True)
('The armadillo is in oregon.', 'The armadillo is in the milky way galaxy.', True)
('The shrew is in oregon.', 'The shrew is in our solar system.', True)
('The caribou is in oregon.', 'The caribou is on earth.', True)
('The seahorse is in oregon.', 'The seahorse is in north america.', True)
('The cassowary is in oregon.', 'The cassowary is in the united states of america.', True)
('The wren is in pennsylvania.', 'The wren is in the universe.', True)
('The caterpillar is in pennsylvania.', 'The caterpillar is in the milky way galaxy.', True)
('The goldfinch is in pennsylvania.', 'The goldfinch is in our solar system.', True)
('The jackal is in pennsylvania.', 'The jackal is on earth.', True)
('The tarsier is in pennsylvania.', 'The tarsier is in north america.', True)
('The dunlin is in pennsylvania.', 'The dunlin is in the united states of america.', True)
('The bat is in puerto rico.', 'The bat is in the universe.', True)
('The boar is in puerto rico.', 'The boar is in the milky way galaxy.', True)
('The anteater is in puerto rico.', 'The anteater is in our solar system.', True)
('The raccoon is in puerto rico.', 'The raccoon is on earth.', True)
('The mole is in puerto rico.', 'The mole is in north america.', True)
('The turkey is in puerto rico.', 'The turkey is in the united states of america.', True)
('The narwhal is in rhode island.', 'The narwhal is in the universe.', True)
('The ape is in rhode island.', 'The ape is in the milky way galaxy.', True)
('The salmon is in rhode island.', 'The salmon is in our solar system.', True)
('The crab is in rhode island.', 'The crab is on earth.', True)
('The horse is in rhode island.', 'The horse is in north america.', True)
('The chimpanzee is in rhode island.', 'The chimpanzee is in the united states of america.', True)
('The chicken is in south carolina.', 'The chicken is in the universe.', True)
('The lapwing is in south carolina.', 'The lapwing is in the milky way galaxy.', True)
('The goat is in south carolina.', 'The goat is in our solar system.', True)
('The wren is in south carolina.', 'The wren is on earth.', True)
('The porcupine is in south carolina.', 'The porcupine is in north america.', True)
('The caterpillar is in south carolina.', 'The caterpillar is in the united states of america.', True)
('The wolf is in south dakota.', 'The wolf is in the universe.', True)
('The ape is in south dakota.', 'The ape is in the milky way galaxy.', True)
('The grasshopper is in south dakota.', 'The grasshopper is in our solar system.', True)
('The marten is in south dakota.', 'The marten is on earth.', True)
('The cheetah is in south dakota.', 'The cheetah is in north america.', True)
('The rail is in south dakota.', 'The rail is in the united states of america.', True)
('The louse is in tennessee.', 'The louse is in the universe.', True)
('The louse is in tennessee.', 'The louse is in the milky way galaxy.', True)
('The fly is in tennessee.', 'The fly is in our solar system.', True)
('The pelican is in tennessee.', 'The pelican is on earth.', True)
('The lapwing is in tennessee.', 'The lapwing is in north america.', True)
('The opossum is in tennessee.', 'The opossum is in the united states of america.', True)
('The otter is in texas.', 'The otter is in the universe.', True)
('The hyena is in texas.', 'The hyena is in the milky way galaxy.', True)
('The turkey is in texas.', 'The turkey is in our solar system.', True)
('The spider is in texas.', 'The spider is on earth.', True)
('The kingfisher is in texas.', 'The kingfisher is in north america.', True)
('The nightingale is in texas.', 'The nightingale is in the united states of america.', True)
('The albatross is in the us virgin islands.', 'The albatross is in the universe.', True)
('The giraffe is in the us virgin islands.', 'The giraffe is in the milky way galaxy.', True)
('The kouprey is in the us virgin islands.', 'The kouprey is in our solar system.', True)
('The quail is in the us virgin islands.', 'The quail is on earth.', True)
('The vulture is in the us virgin islands.', 'The vulture is in north america.', True)
('The rat is in the us virgin islands.', 'The rat is in the united states of america.', True)
('The falcon is in utah.', 'The falcon is in the universe.', True)
('The swallow is in utah.', 'The swallow is in the milky way galaxy.', True)
('The hippopotamus is in utah.', 'The hippopotamus is in our solar system.', True)
('The cat is in utah.', 'The cat is on earth.', True)
('The porcupine is in utah.', 'The porcupine is in north america.', True)
('The goshawk is in utah.', 'The goshawk is in the united states of america.', True)
('The wombat is in vermont.', 'The wombat is in the universe.', True)
('The sandpiper is in vermont.', 'The sandpiper is in the milky way galaxy.', True)
('The gorilla is in vermont.', 'The gorilla is in our solar system.', True)
('The ant is in vermont.', 'The ant is on earth.', True)
('The buffalo is in vermont.', 'The buffalo is in north america.', True)
('The zebra is in vermont.', 'The zebra is in the united states of america.', True)
('The bear is in virginia.', 'The bear is in the universe.', True)
('The armadillo is in virginia.', 'The armadillo is in the milky way galaxy.', True)
('The badger is in virginia.', 'The badger is in our solar system.', True)
('The squirrel is in virginia.', 'The squirrel is on earth.', True)
('The goldfinch is in virginia.', 'The goldfinch is in north america.', True)
('The rabbit is in virginia.', 'The rabbit is in the united states of america.', True)
('The dolphin is in washington.', 'The dolphin is in the universe.', True)
('The human is in washington.', 'The human is in the milky way galaxy.', True)
('The hyena is in washington.', 'The hyena is in our solar system.', True)
('The locust is in washington.', 'The locust is on earth.', True)
('The worm is in washington.', 'The worm is in north america.', True)
('The stork is in washington.', 'The stork is in the united states of america.', True)
('The goat is in west virginia.', 'The goat is in the universe.', True)
('The ram is in west virginia.', 'The ram is in the milky way galaxy.', True)
('The fly is in west virginia.', 'The fly is in our solar system.', True)
('The tapir is in west virginia.', 'The tapir is on earth.', True)
('The red panda is in west virginia.', 'The red panda is in north america.', True)
('The panther is in west virginia.', 'The panther is in the united states of america.', True)
('The skunk is in wisconsin.', 'The skunk is in the universe.', True)
('The fly is in wisconsin.', 'The fly is in the milky way galaxy.', True)
('The pony is in wisconsin.', 'The pony is in our solar system.', True)
('The wren is in wisconsin.', 'The wren is on earth.', True)
('The fly is in wisconsin.', 'The fly is in north america.', True)
('The echidna is in wisconsin.', 'The echidna is in the united states of america.', True)
('The chicken is in wyoming.', 'The chicken is in the universe.', True)
('The pelican is in wyoming.', 'The pelican is in the milky way galaxy.', True)
('The porpoise is in wyoming.', 'The porpoise is in our solar system.', True)
('The mouse is in wyoming.', 'The mouse is on earth.', True)
('The goldfinch is in wyoming.', 'The goldfinch is in north america.', True)
('The jay is in wyoming.', 'The jay is in the united states of america.', True)
('The grasshopper is in mexico.', 'The grasshopper is in the universe.', True)
('The hare is in mexico.', 'The hare is in the milky way galaxy.', True)
('The toad is in mexico.', 'The toad is in our solar system.', True)
('The kudu is in mexico.', 'The kudu is on earth.', True)
('The sparrow is in mexico.', 'The sparrow is in north america.', True)
('The jackal is in canada.', 'The jackal is in the universe.', True)
('The squid is in canada.', 'The squid is in the milky way galaxy.', True)
('The anteater is in canada.', 'The anteater is in our solar system.', True)
('The monkey is in canada.', 'The monkey is on earth.', True)
