('neighborhoods contain cities', 'neighborhoods are found in cities.', False)
('bingo callers says cities are composed of neighborhoods', 'Some bingo callers says cities consists of neighborhoods.', False)
('biochemists says cities are composed of neighborhoods', 'Some biochemists says cities consists of neighborhoods.', False)
('biologists says cities are composed of neighborhoods', 'Some biologists says cities consists of neighborhoods.', False)
('blacksmiths says cities are composed of neighborhoods', 'Some blacksmiths says cities consists of neighborhoods.', False)
('blind assemblers says cities are composed of neighborhoods', 'Some blind assemblers says cities consists of neighborhoods.', False)
('blind fitters says cities are composed of neighborhoods', 'Some blind fitters says cities consists of neighborhoods.', False)
('blinds installers says cities are composed of neighborhoods', 'Some blinds installers says cities consists of neighborhoods.', False)
('boat builders says cities are composed of neighborhoods', 'Some boat builders says cities consists of neighborhoods.', False)
('body fitters says cities are composed of neighborhoods', 'Some body fitters says cities consists of neighborhoods.', False)
('bodyguards says cities are composed of neighborhoods', 'Some bodyguards says cities consists of neighborhoods.', False)
('bodyshops says cities are composed of neighborhoods', 'Some bodyshops says cities consists of neighborhoods.', False)
('book binders says cities are composed of neighborhoods', 'Some book binders says cities consists of neighborhoods.', False)
('book sellers says cities are composed of neighborhoods', 'Some book sellers says cities consists of neighborhoods.', False)
('book-keepers says cities are composed of neighborhoods', 'Some book-keepers says cities consists of neighborhoods.', False)
('booking agents says cities are composed of neighborhoods', 'Some booking agents says cities consists of neighborhoods.', False)
('booking clerks says cities are composed of neighborhoods', 'Some booking clerks says cities consists of neighborhoods.', False)
('bookmakers says cities are composed of neighborhoods', 'Some bookmakers says cities consists of neighborhoods.', False)
('botanists says cities are composed of neighborhoods', 'Some botanists says cities consists of neighborhoods.', False)
('branch managers says cities are composed of neighborhoods', 'Some branch managers says cities consists of neighborhoods.', False)
('breeders says cities are composed of neighborhoods', 'Some breeders says cities consists of neighborhoods.', False)
('brewers says cities are composed of neighborhoods', 'Some brewers says cities consists of neighborhoods.', False)
('brewery managers says cities are composed of neighborhoods', 'Some brewery managers says cities consists of neighborhoods.', False)
('brewery workers says cities are composed of neighborhoods', 'Some brewery workers says cities consists of neighborhoods.', False)
('bricklayers says cities are composed of neighborhoods', 'Some bricklayers says cities consists of neighborhoods.', False)
('broadcasters says cities are composed of neighborhoods', 'Some broadcasters says cities consists of neighborhoods.', False)
('builders says cities are composed of neighborhoods', 'Some builders says cities consists of neighborhoods.', False)
('builders labourers says cities are composed of neighborhoods', 'Some builders labourers says cities consists of neighborhoods.', False)
('building advisors says cities are composed of neighborhoods', 'Some building advisors says cities consists of neighborhoods.', False)
('building controls says cities are composed of neighborhoods', 'Some building controls says cities consists of neighborhoods.', False)
('building engineers says cities are composed of neighborhoods', 'Some building engineers says cities consists of neighborhoods.', False)
('building estimators says cities are composed of neighborhoods', 'Some building estimators says cities consists of neighborhoods.', False)
('building foremans says cities are composed of neighborhoods', 'Some building foremans says cities consists of neighborhoods.', False)
('building inspectors says cities are composed of neighborhoods', 'Some building inspectors says cities consists of neighborhoods.', False)
('building managers says cities are composed of neighborhoods', 'Some building managers says cities consists of neighborhoods.', False)
('building surveyors says cities are composed of neighborhoods', 'Some building surveyors says cities consists of neighborhoods.', False)
('bursars says cities are composed of neighborhoods', 'Some bursars says cities consists of neighborhoods.', False)
('bus companys says cities are composed of neighborhoods', 'Some bus companys says cities consists of neighborhoods.', False)
('bus conductors says cities are composed of neighborhoods', 'Some bus conductors says cities consists of neighborhoods.', False)
('bus drivers says cities are composed of neighborhoods', 'Some bus drivers says cities consists of neighborhoods.', False)
('bus mechanics says cities are composed of neighborhoods', 'Some bus mechanics says cities consists of neighborhoods.', False)
('bus valeters says cities are composed of neighborhoods', 'Some bus valeters says cities consists of neighborhoods.', False)
('business consultants says cities are composed of neighborhoods', 'Some business consultants says cities consists of neighborhoods.', False)
('business proprietors says cities are composed of neighborhoods', 'Some business proprietors says cities consists of neighborhoods.', False)
('butchers says cities are composed of neighborhoods', 'Some butchers says cities consists of neighborhoods.', False)
('butchery managers says cities are composed of neighborhoods', 'Some butchery managers says cities consists of neighborhoods.', False)
('butlers says cities are composed of neighborhoods', 'Some butlers says cities consists of neighborhoods.', False)
('buyers says cities are composed of neighborhoods', 'Some buyers says cities consists of neighborhoods.', False)
('cab drivers says cities are composed of neighborhoods', 'Some cab drivers says cities consists of neighborhoods.', False)
('cabinet makers says cities are composed of neighborhoods', 'Some cabinet makers says cities consists of neighborhoods.', False)
('cable contractors says cities are composed of neighborhoods', 'Some cable contractors says cities consists of neighborhoods.', False)
('cable jointers says cities are composed of neighborhoods', 'Some cable jointers says cities consists of neighborhoods.', False)
('cable tv installers says cities are composed of neighborhoods', 'Some cable tv installers says cities consists of neighborhoods.', False)
('cafe owners says cities are composed of neighborhoods', 'Some cafe owners says cities consists of neighborhoods.', False)
('cafe staffs says cities are composed of neighborhoods', 'Some cafe staffs says cities consists of neighborhoods.', False)
('cafe workers says cities are composed of neighborhoods', 'Some cafe workers says cities consists of neighborhoods.', False)
('calibration managers says cities are composed of neighborhoods', 'Some calibration managers says cities consists of neighborhoods.', False)
('camera repairers says cities are composed of neighborhoods', 'Some camera repairers says cities consists of neighborhoods.', False)
('cameramans says cities are composed of neighborhoods', 'Some cameramans says cities consists of neighborhoods.', False)
('car dealers says cities are composed of neighborhoods', 'Some car dealers says cities consists of neighborhoods.', False)
('car delivery drivers says cities are composed of neighborhoods', 'Some car delivery drivers says cities consists of neighborhoods.', False)
('car park attendants says cities are composed of neighborhoods', 'Some car park attendants says cities consists of neighborhoods.', False)
('car salesmans says cities are composed of neighborhoods', 'Some car salesmans says cities consists of neighborhoods.', False)
('car valets says cities are composed of neighborhoods', 'Some car valets says cities consists of neighborhoods.', False)
('car wash attendants says cities are composed of neighborhoods', 'Some car wash attendants says cities consists of neighborhoods.', False)
('care assistants says cities are composed of neighborhoods', 'Some care assistants says cities consists of neighborhoods.', False)
('care managers says cities are composed of neighborhoods', 'Some care managers says cities consists of neighborhoods.', False)
('careers advisors says cities are composed of neighborhoods', 'Some careers advisors says cities consists of neighborhoods.', False)
('careers officers says cities are composed of neighborhoods', 'Some careers officers says cities consists of neighborhoods.', False)
('caretakers says cities are composed of neighborhoods', 'Some caretakers says cities consists of neighborhoods.', False)
('cargo operators says cities are composed of neighborhoods', 'Some cargo operators says cities consists of neighborhoods.', False)
('carpenters says cities are composed of neighborhoods', 'Some carpenters says cities consists of neighborhoods.', False)
('carpet cleaners says cities are composed of neighborhoods', 'Some carpet cleaners says cities consists of neighborhoods.', False)
('carpet fitters says cities are composed of neighborhoods', 'Some carpet fitters says cities consists of neighborhoods.', False)
('carpet retailers says cities are composed of neighborhoods', 'Some carpet retailers says cities consists of neighborhoods.', False)
('carphone fitters says cities are composed of neighborhoods', 'Some carphone fitters says cities consists of neighborhoods.', False)
('cartographers says cities are composed of neighborhoods', 'Some cartographers says cities consists of neighborhoods.', False)
('cartoonists says cities are composed of neighborhoods', 'Some cartoonists says cities consists of neighborhoods.', False)
('cashiers says cities are composed of neighborhoods', 'Some cashiers says cities consists of neighborhoods.', False)
('casual workers says cities are composed of neighborhoods', 'Some casual workers says cities consists of neighborhoods.', False)
('caterers says cities are composed of neighborhoods', 'Some caterers says cities consists of neighborhoods.', False)
('catering consultants says cities are composed of neighborhoods', 'Some catering consultants says cities consists of neighborhoods.', False)
('catering managers says cities are composed of neighborhoods', 'Some catering managers says cities consists of neighborhoods.', False)
('catering staffs says cities are composed of neighborhoods', 'Some catering staffs says cities consists of neighborhoods.', False)
('caulkers says cities are composed of neighborhoods', 'Some caulkers says cities consists of neighborhoods.', False)
('ceiling contractors says cities are composed of neighborhoods', 'Some ceiling contractors says cities consists of neighborhoods.', False)
('ceiling fixers says cities are composed of neighborhoods', 'Some ceiling fixers says cities consists of neighborhoods.', False)
('cellarmans says cities are composed of neighborhoods', 'Some cellarmans says cities consists of neighborhoods.', False)
('chambermaids says cities are composed of neighborhoods', 'Some chambermaids says cities consists of neighborhoods.', False)
('chandlers says cities are composed of neighborhoods', 'Some chandlers says cities consists of neighborhoods.', False)
('chaplains says cities are composed of neighborhoods', 'Some chaplains says cities consists of neighborhoods.', False)
('charge hands says cities are composed of neighborhoods', 'Some charge hands says cities consists of neighborhoods.', False)
('charity workers says cities are composed of neighborhoods', 'Some charity workers says cities consists of neighborhoods.', False)
('chartereds says cities are composed of neighborhoods', 'Some chartereds says cities consists of neighborhoods.', False)
('chartered accountants says cities are composed of neighborhoods', 'Some chartered accountants says cities consists of neighborhoods.', False)
('chauffeurs says cities are composed of neighborhoods', 'Some chauffeurs says cities consists of neighborhoods.', False)
('chefs says cities are composed of neighborhoods', 'Some chefs says cities consists of neighborhoods.', False)
('chemists says cities are composed of neighborhoods', 'Some chemists says cities consists of neighborhoods.', False)
('chicken chasers says cities are composed of neighborhoods', 'Some chicken chasers says cities consists of neighborhoods.', False)
('child minders says cities are composed of neighborhoods', 'Some child minders says cities consists of neighborhoods.', False)
('childminders says cities are composed of neighborhoods', 'Some childminders says cities consists of neighborhoods.', False)
('chimney sweeps says cities are composed of neighborhoods', 'Some chimney sweeps says cities consists of neighborhoods.', False)
('china restorers says cities are composed of neighborhoods', 'Some china restorers says cities consists of neighborhoods.', False)
('chiropodists says cities are composed of neighborhoods', 'Some chiropodists says cities consists of neighborhoods.', False)
('chiropractors says cities are composed of neighborhoods', 'Some chiropractors says cities consists of neighborhoods.', False)
('choreographers says cities are composed of neighborhoods', 'Some choreographers says cities consists of neighborhoods.', False)
('church officers says cities are composed of neighborhoods', 'Some church officers says cities consists of neighborhoods.', False)
('church wardens says cities are composed of neighborhoods', 'Some church wardens says cities consists of neighborhoods.', False)
('cinema managers says cities are composed of neighborhoods', 'Some cinema managers says cities consists of neighborhoods.', False)
('circus proprietors says cities are composed of neighborhoods', 'Some circus proprietors says cities consists of neighborhoods.', False)
('circus workers says cities are composed of neighborhoods', 'Some circus workers says cities consists of neighborhoods.', False)
('civil engineers says cities are composed of neighborhoods', 'Some civil engineers says cities consists of neighborhoods.', False)
('civil servants says cities are composed of neighborhoods', 'Some civil servants says cities consists of neighborhoods.', False)
('claims adjustors says cities are composed of neighborhoods', 'Some claims adjustors says cities consists of neighborhoods.', False)
('claims assessors says cities are composed of neighborhoods', 'Some claims assessors says cities consists of neighborhoods.', False)
('claims managers says cities are composed of neighborhoods', 'Some claims managers says cities consists of neighborhoods.', False)
('clairvoyants says cities are composed of neighborhoods', 'Some clairvoyants says cities consists of neighborhoods.', False)
('classroom aides says cities are composed of neighborhoods', 'Some classroom aides says cities consists of neighborhoods.', False)
('cleaners says cities are composed of neighborhoods', 'Some cleaners says cities consists of neighborhoods.', False)
('clergymans says cities are composed of neighborhoods', 'Some clergymans says cities consists of neighborhoods.', False)
('clerics says cities are composed of neighborhoods', 'Some clerics says cities consists of neighborhoods.', False)
('clerks says cities are composed of neighborhoods', 'Some clerks says cities consists of neighborhoods.', False)
('commissioneds says cities are composed of neighborhoods', 'Some commissioneds says cities consists of neighborhoods.', False)
('consultants says cities are composed of neighborhoods', 'Some consultants says cities consists of neighborhoods.', False)
('coroners says cities are composed of neighborhoods', 'Some coroners says cities consists of neighborhoods.', False)
('councillors says cities are composed of neighborhoods', 'Some councillors says cities consists of neighborhoods.', False)
('counsellors says cities are composed of neighborhoods', 'Some counsellors says cities consists of neighborhoods.', False)
('dealers says cities are composed of neighborhoods', 'Some dealers says cities consists of neighborhoods.', False)
('decorators says cities are composed of neighborhoods', 'Some decorators says cities consists of neighborhoods.', False)
('delivery drivers says cities are composed of neighborhoods', 'Some delivery drivers says cities consists of neighborhoods.', False)
('doctors says cities are composed of neighborhoods', 'Some doctors says cities consists of neighborhoods.', False)
('drivers says cities are composed of neighborhoods', 'Some drivers says cities consists of neighborhoods.', False)
('economists says cities are composed of neighborhoods', 'Some economists says cities consists of neighborhoods.', False)
('editors says cities are composed of neighborhoods', 'Some editors says cities consists of neighborhoods.', False)
('employees says cities are composed of neighborhoods', 'Some employees says cities consists of neighborhoods.', False)
('employments says cities are composed of neighborhoods', 'Some employments says cities consists of neighborhoods.', False)
('engineers says cities are composed of neighborhoods', 'Some engineers says cities consists of neighborhoods.', False)
('english teachers says cities are composed of neighborhoods', 'Some english teachers says cities consists of neighborhoods.', False)
('entertainers says cities are composed of neighborhoods', 'Some entertainers says cities consists of neighborhoods.', False)
('envoys says cities are composed of neighborhoods', 'Some envoys says cities consists of neighborhoods.', False)
('executives says cities are composed of neighborhoods', 'Some executives says cities consists of neighborhoods.', False)
('farmers says cities are composed of neighborhoods', 'Some farmers says cities consists of neighborhoods.', False)
('firemans says cities are composed of neighborhoods', 'Some firemans says cities consists of neighborhoods.', False)
('floor layers says cities are composed of neighborhoods', 'Some floor layers says cities consists of neighborhoods.', False)
('floor managers says cities are composed of neighborhoods', 'Some floor managers says cities consists of neighborhoods.', False)
('florists says cities are composed of neighborhoods', 'Some florists says cities consists of neighborhoods.', False)
('flour millers says cities are composed of neighborhoods', 'Some flour millers says cities consists of neighborhoods.', False)
('flower arrangers says cities are composed of neighborhoods', 'Some flower arrangers says cities consists of neighborhoods.', False)
('flying instructors says cities are composed of neighborhoods', 'Some flying instructors says cities consists of neighborhoods.', False)
('foam convertors says cities are composed of neighborhoods', 'Some foam convertors says cities consists of neighborhoods.', False)
('food processors says cities are composed of neighborhoods', 'Some food processors says cities consists of neighborhoods.', False)
('footballers says cities are composed of neighborhoods', 'Some footballers says cities consists of neighborhoods.', False)
('foremans says cities are composed of neighborhoods', 'Some foremans says cities consists of neighborhoods.', False)
('forensic scientists says cities are composed of neighborhoods', 'Some forensic scientists says cities consists of neighborhoods.', False)
('forest rangers says cities are composed of neighborhoods', 'Some forest rangers says cities consists of neighborhoods.', False)
('foresters says cities are composed of neighborhoods', 'Some foresters says cities consists of neighborhoods.', False)
('fork lift truck drivers says cities are composed of neighborhoods', 'Some fork lift truck drivers says cities consists of neighborhoods.', False)
('forwarding agents says cities are composed of neighborhoods', 'Some forwarding agents says cities consists of neighborhoods.', False)
('foster parents says cities are composed of neighborhoods', 'Some foster parents says cities consists of neighborhoods.', False)
('foundry workers says cities are composed of neighborhoods', 'Some foundry workers says cities consists of neighborhoods.', False)
('fraud investigators says cities are composed of neighborhoods', 'Some fraud investigators says cities consists of neighborhoods.', False)
('french polishers says cities are composed of neighborhoods', 'Some french polishers says cities consists of neighborhoods.', False)
('fruiterers says cities are composed of neighborhoods', 'Some fruiterers says cities consists of neighborhoods.', False)
('fuel merchants says cities are composed of neighborhoods', 'Some fuel merchants says cities consists of neighborhoods.', False)
('fund raisers says cities are composed of neighborhoods', 'Some fund raisers says cities consists of neighborhoods.', False)
('funeral directors says cities are composed of neighborhoods', 'Some funeral directors says cities consists of neighborhoods.', False)
('funeral furnishers says cities are composed of neighborhoods', 'Some funeral furnishers says cities consists of neighborhoods.', False)
('furnace mans says cities are composed of neighborhoods', 'Some furnace mans says cities consists of neighborhoods.', False)
('furniture dealers says cities are composed of neighborhoods', 'Some furniture dealers says cities consists of neighborhoods.', False)
('furniture removers says cities are composed of neighborhoods', 'Some furniture removers says cities consists of neighborhoods.', False)
('furniture restorers says cities are composed of neighborhoods', 'Some furniture restorers says cities consists of neighborhoods.', False)
('furriers says cities are composed of neighborhoods', 'Some furriers says cities consists of neighborhoods.', False)
('gallery owners says cities are composed of neighborhoods', 'Some gallery owners says cities consists of neighborhoods.', False)
('gamblers says cities are composed of neighborhoods', 'Some gamblers says cities consists of neighborhoods.', False)
('gamekeepers says cities are composed of neighborhoods', 'Some gamekeepers says cities consists of neighborhoods.', False)
('gaming board inspectors says cities are composed of neighborhoods', 'Some gaming board inspectors says cities consists of neighborhoods.', False)
('gaming club managers says cities are composed of neighborhoods', 'Some gaming club managers says cities consists of neighborhoods.', False)
('gaming club proprietors says cities are composed of neighborhoods', 'Some gaming club proprietors says cities consists of neighborhoods.', False)
('garage attendants says cities are composed of neighborhoods', 'Some garage attendants says cities consists of neighborhoods.', False)
('garage foremans says cities are composed of neighborhoods', 'Some garage foremans says cities consists of neighborhoods.', False)
('garage managers says cities are composed of neighborhoods', 'Some garage managers says cities consists of neighborhoods.', False)
('gardas says cities are composed of neighborhoods', 'Some gardas says cities consists of neighborhoods.', False)
('garden designers says cities are composed of neighborhoods', 'Some garden designers says cities consists of neighborhoods.', False)
('gardeners says cities are composed of neighborhoods', 'Some gardeners says cities consists of neighborhoods.', False)
('gas fitters says cities are composed of neighborhoods', 'Some gas fitters says cities consists of neighborhoods.', False)
('gas mechanics says cities are composed of neighborhoods', 'Some gas mechanics says cities consists of neighborhoods.', False)
('gas technicians says cities are composed of neighborhoods', 'Some gas technicians says cities consists of neighborhoods.', False)
('gate keepers says cities are composed of neighborhoods', 'Some gate keepers says cities consists of neighborhoods.', False)
('genealogists says cities are composed of neighborhoods', 'Some genealogists says cities consists of neighborhoods.', False)
('general practitioners says cities are composed of neighborhoods', 'Some general practitioners says cities consists of neighborhoods.', False)
('geologists says cities are composed of neighborhoods', 'Some geologists says cities consists of neighborhoods.', False)
('geophysicists says cities are composed of neighborhoods', 'Some geophysicists says cities consists of neighborhoods.', False)
('gilders says cities are composed of neighborhoods', 'Some gilders says cities consists of neighborhoods.', False)
('glass workers says cities are composed of neighborhoods', 'Some glass workers says cities consists of neighborhoods.', False)
('glaziers says cities are composed of neighborhoods', 'Some glaziers says cities consists of neighborhoods.', False)
