('The turtle is in the universe.', 'The turtle is in the milky way galaxy.', False)
('The albatross is in the milky way galaxy.', 'The albatross is in montana.', False)
('The gorilla is in our solar system.', 'The gorilla is in montana.', False)
('The porcupine is on earth.', 'The porcupine is in montana.', False)
('The pig is in north america.', 'The pig is in montana.', False)
('The goat is in the united states of america.', 'The goat is in montana.', False)
('The fish is in the universe.', 'The fish is in nebraska.', False)
('The chicken is in the milky way galaxy.', 'The chicken is in nebraska.', False)
('The crow is in our solar system.', 'The crow is in nebraska.', False)
('The mink is on earth.', 'The mink is in nebraska.', False)
('The ibis is in north america.', 'The ibis is in nebraska.', False)
('The clam is in the united states of america.', 'The clam is in nebraska.', False)
('The reindeer is in the universe.', 'The reindeer is in nevada.', False)
('The dotterel is in the milky way galaxy.', 'The dotterel is in nevada.', False)
('The hyena is in our solar system.', 'The hyena is in nevada.', False)
('The kangaroo is on earth.', 'The kangaroo is in nevada.', False)
('The bison is in north america.', 'The bison is in nevada.', False)
('The goshawk is in the united states of america.', 'The goshawk is in nevada.', False)
('The goshawk is in the universe.', 'The goshawk is in new hampshire.', False)
('The dolphin is in the milky way galaxy.', 'The dolphin is in new hampshire.', False)
('The crane is in our solar system.', 'The crane is in new hampshire.', False)
('The rhinoceros is on earth.', 'The rhinoceros is in new hampshire.', False)
('The oryx is in north america.', 'The oryx is in new hampshire.', False)
('The lark is in the united states of america.', 'The lark is in new hampshire.', False)
('The manatee is in the universe.', 'The manatee is in new jersey.', False)
('The deer is in the milky way galaxy.', 'The deer is in new jersey.', False)
('The seal is in our solar system.', 'The seal is in new jersey.', False)
('The duck is on earth.', 'The duck is in new jersey.', False)
('The gull is in north america.', 'The gull is in new jersey.', False)
('The dinosaur is in the united states of america.', 'The dinosaur is in new jersey.', False)
('The sand dollar is in the universe.', 'The sand dollar is in new mexico.', False)
('The starling is in the milky way galaxy.', 'The starling is in new mexico.', False)
('The gazelle is in our solar system.', 'The gazelle is in new mexico.', False)
('The reindeer is on earth.', 'The reindeer is in new mexico.', False)
('The woodcock is in north america.', 'The woodcock is in new mexico.', False)
('The capybara is in the united states of america.', 'The capybara is in new mexico.', False)
('The ferret is in the universe.', 'The ferret is in new york.', False)
('The woodpecker is in the milky way galaxy.', 'The woodpecker is in new york.', False)
('The herring is in our solar system.', 'The herring is in new york.', False)
('The wolverine is on earth.', 'The wolverine is in new york.', False)
('The crocodile is in north america.', 'The crocodile is in new york.', False)
('The red panda is in the united states of america.', 'The red panda is in new york.', False)
('The monkey is in the universe.', 'The monkey is in new york city.', False)
('The nightingale is in the milky way galaxy.', 'The nightingale is in new york city.', False)
('The salmon is in our solar system.', 'The salmon is in new york city.', False)
('The lemur is on earth.', 'The lemur is in new york city.', False)
('The beaver is in north america.', 'The beaver is in new york city.', False)
('The cat is in the united states of america.', 'The cat is in new york city.', False)
('The red panda is in new york.', 'The red panda is in new york city.', False)
('The rook is in the universe.', 'The rook is in the bronx.', False)
('The goldfinch is in the milky way galaxy.', 'The goldfinch is in the bronx.', False)
('The owl is in our solar system.', 'The owl is in the bronx.', False)
('The wombat is on earth.', 'The wombat is in the bronx.', False)
('The eagle is in north america.', 'The eagle is in the bronx.', False)
('The cobra is in the united states of america.', 'The cobra is in the bronx.', False)
('The mole is in new york.', 'The mole is in the bronx.', False)
('The hornet is in new york city.', 'The hornet is in the bronx.', False)
('The tapir is in the universe.', 'The tapir is in manhattan.', False)
('The aardvark is in the milky way galaxy.', 'The aardvark is in manhattan.', False)
('The coyote is in our solar system.', 'The coyote is in manhattan.', False)
('The shrew is on earth.', 'The shrew is in manhattan.', False)
('The elk is in north america.', 'The elk is in manhattan.', False)
('The quetzal is in the united states of america.', 'The quetzal is in manhattan.', False)
('The gazelle is in new york.', 'The gazelle is in manhattan.', False)
('The woodpecker is in new york city.', 'The woodpecker is in manhattan.', False)
('The emu is in the universe.', 'The emu is in brooklyn.', False)
('The panther is in the milky way galaxy.', 'The panther is in brooklyn.', False)
('The red deer is in our solar system.', 'The red deer is in brooklyn.', False)
('The capybara is on earth.', 'The capybara is in brooklyn.', False)
('The dunlin is in north america.', 'The dunlin is in brooklyn.', False)
('The antelope is in the united states of america.', 'The antelope is in brooklyn.', False)
('The ibex is in new york.', 'The ibex is in brooklyn.', False)
('The mule is in new york city.', 'The mule is in brooklyn.', False)
('The cat is in the universe.', 'The cat is in queens.', False)
('The narwhal is in the milky way galaxy.', 'The narwhal is in queens.', False)
('The ferret is in our solar system.', 'The ferret is in queens.', False)
('The herring is on earth.', 'The herring is in queens.', False)
('The crocodile is in north america.', 'The crocodile is in queens.', False)
('The dove is in the united states of america.', 'The dove is in queens.', False)
('The panther is in new york.', 'The panther is in queens.', False)
('The lapwing is in new york city.', 'The lapwing is in queens.', False)
('The lemur is in the universe.', 'The lemur is in staten island.', False)
('The cattle is in the milky way galaxy.', 'The cattle is in staten island.', False)
('The tiger is in our solar system.', 'The tiger is in staten island.', False)
('The ram is on earth.', 'The ram is in staten island.', False)
('The loris is in north america.', 'The loris is in staten island.', False)
('The kangaroo is in the united states of america.', 'The kangaroo is in staten island.', False)
('The lapwing is in new york.', 'The lapwing is in staten island.', False)
('The otter is in new york city.', 'The otter is in staten island.', False)
('The herring is in the universe.', 'The herring is in north carolina.', False)
('The deer is in the milky way galaxy.', 'The deer is in north carolina.', False)
('The kookabura is in our solar system.', 'The kookabura is in north carolina.', False)
('The eel is on earth.', 'The eel is in north carolina.', False)
('The wolf is in north america.', 'The wolf is in north carolina.', False)
('The hedgehog is in the united states of america.', 'The hedgehog is in north carolina.', False)
('The wildcat is in the universe.', 'The wildcat is in north dakota.', False)
('The cormorant is in the milky way galaxy.', 'The cormorant is in north dakota.', False)
('The chicken is in our solar system.', 'The chicken is in north dakota.', False)
('The pigeon is on earth.', 'The pigeon is in north dakota.', False)
('The starling is in north america.', 'The starling is in north dakota.', False)
('The gull is in the united states of america.', 'The gull is in north dakota.', False)
('The gull is in the universe.', 'The gull is in ohio.', False)
('The echidna is in the milky way galaxy.', 'The echidna is in ohio.', False)
('The chinchilla is in our solar system.', 'The chinchilla is in ohio.', False)
('The eagle is on earth.', 'The eagle is in ohio.', False)
('The frog is in north america.', 'The frog is in ohio.', False)
('The tiger is in the united states of america.', 'The tiger is in ohio.', False)
('The squirrel is in the universe.', 'The squirrel is in oklahoma.', False)
('The louse is in the milky way galaxy.', 'The louse is in oklahoma.', False)
('The hawk is in our solar system.', 'The hawk is in oklahoma.', False)
('The loris is on earth.', 'The loris is in oklahoma.', False)
('The worm is in north america.', 'The worm is in oklahoma.', False)
('The porpoise is in the united states of america.', 'The porpoise is in oklahoma.', False)
('The rabbit is in the universe.', 'The rabbit is in oregon.', False)
('The armadillo is in the milky way galaxy.', 'The armadillo is in oregon.', False)
('The shrew is in our solar system.', 'The shrew is in oregon.', False)
('The caribou is on earth.', 'The caribou is in oregon.', False)
('The seahorse is in north america.', 'The seahorse is in oregon.', False)
('The cassowary is in the united states of america.', 'The cassowary is in oregon.', False)
('The wren is in the universe.', 'The wren is in pennsylvania.', False)
('The caterpillar is in the milky way galaxy.', 'The caterpillar is in pennsylvania.', False)
('The goldfinch is in our solar system.', 'The goldfinch is in pennsylvania.', False)
('The jackal is on earth.', 'The jackal is in pennsylvania.', False)
('The tarsier is in north america.', 'The tarsier is in pennsylvania.', False)
('The dunlin is in the united states of america.', 'The dunlin is in pennsylvania.', False)
('The bat is in the universe.', 'The bat is in puerto rico.', False)
('The boar is in the milky way galaxy.', 'The boar is in puerto rico.', False)
('The anteater is in our solar system.', 'The anteater is in puerto rico.', False)
('The raccoon is on earth.', 'The raccoon is in puerto rico.', False)
('The mole is in north america.', 'The mole is in puerto rico.', False)
('The turkey is in the united states of america.', 'The turkey is in puerto rico.', False)
('The narwhal is in the universe.', 'The narwhal is in rhode island.', False)
('The ape is in the milky way galaxy.', 'The ape is in rhode island.', False)
('The salmon is in our solar system.', 'The salmon is in rhode island.', False)
('The crab is on earth.', 'The crab is in rhode island.', False)
('The horse is in north america.', 'The horse is in rhode island.', False)
('The chimpanzee is in the united states of america.', 'The chimpanzee is in rhode island.', False)
('The chicken is in the universe.', 'The chicken is in south carolina.', False)
('The lapwing is in the milky way galaxy.', 'The lapwing is in south carolina.', False)
('The goat is in our solar system.', 'The goat is in south carolina.', False)
('The wren is on earth.', 'The wren is in south carolina.', False)
('The porcupine is in north america.', 'The porcupine is in south carolina.', False)
('The caterpillar is in the united states of america.', 'The caterpillar is in south carolina.', False)
('The wolf is in the universe.', 'The wolf is in south dakota.', False)
('The ape is in the milky way galaxy.', 'The ape is in south dakota.', False)
('The grasshopper is in our solar system.', 'The grasshopper is in south dakota.', False)
('The marten is on earth.', 'The marten is in south dakota.', False)
('The cheetah is in north america.', 'The cheetah is in south dakota.', False)
('The rail is in the united states of america.', 'The rail is in south dakota.', False)
('The louse is in the universe.', 'The louse is in tennessee.', False)
('The louse is in the milky way galaxy.', 'The louse is in tennessee.', False)
('The fly is in our solar system.', 'The fly is in tennessee.', False)
('The pelican is on earth.', 'The pelican is in tennessee.', False)
('The lapwing is in north america.', 'The lapwing is in tennessee.', False)
('The opossum is in the united states of america.', 'The opossum is in tennessee.', False)
('The otter is in the universe.', 'The otter is in texas.', False)
('The hyena is in the milky way galaxy.', 'The hyena is in texas.', False)
('The turkey is in our solar system.', 'The turkey is in texas.', False)
('The spider is on earth.', 'The spider is in texas.', False)
('The kingfisher is in north america.', 'The kingfisher is in texas.', False)
('The nightingale is in the united states of america.', 'The nightingale is in texas.', False)
('The albatross is in the universe.', 'The albatross is in the us virgin islands.', False)
('The giraffe is in the milky way galaxy.', 'The giraffe is in the us virgin islands.', False)
('The kouprey is in our solar system.', 'The kouprey is in the us virgin islands.', False)
('The quail is on earth.', 'The quail is in the us virgin islands.', False)
('The vulture is in north america.', 'The vulture is in the us virgin islands.', False)
('The rat is in the united states of america.', 'The rat is in the us virgin islands.', False)
('The falcon is in the universe.', 'The falcon is in utah.', False)
('The swallow is in the milky way galaxy.', 'The swallow is in utah.', False)
('The hippopotamus is in our solar system.', 'The hippopotamus is in utah.', False)
('The cat is on earth.', 'The cat is in utah.', False)
('The porcupine is in north america.', 'The porcupine is in utah.', False)
('The goshawk is in the united states of america.', 'The goshawk is in utah.', False)
('The wombat is in the universe.', 'The wombat is in vermont.', False)
('The sandpiper is in the milky way galaxy.', 'The sandpiper is in vermont.', False)
('The gorilla is in our solar system.', 'The gorilla is in vermont.', False)
('The ant is on earth.', 'The ant is in vermont.', False)
('The buffalo is in north america.', 'The buffalo is in vermont.', False)
('The zebra is in the united states of america.', 'The zebra is in vermont.', False)
('The bear is in the universe.', 'The bear is in virginia.', False)
('The armadillo is in the milky way galaxy.', 'The armadillo is in virginia.', False)
('The badger is in our solar system.', 'The badger is in virginia.', False)
('The squirrel is on earth.', 'The squirrel is in virginia.', False)
('The goldfinch is in north america.', 'The goldfinch is in virginia.', False)
('The rabbit is in the united states of america.', 'The rabbit is in virginia.', False)
('The dolphin is in the universe.', 'The dolphin is in washington.', False)
('The human is in the milky way galaxy.', 'The human is in washington.', False)
('The hyena is in our solar system.', 'The hyena is in washington.', False)
('The locust is on earth.', 'The locust is in washington.', False)
('The worm is in north america.', 'The worm is in washington.', False)
('The stork is in the united states of america.', 'The stork is in washington.', False)
('The goat is in the universe.', 'The goat is in west virginia.', False)
('The ram is in the milky way galaxy.', 'The ram is in west virginia.', False)
('The fly is in our solar system.', 'The fly is in west virginia.', False)
('The tapir is on earth.', 'The tapir is in west virginia.', False)
('The red panda is in north america.', 'The red panda is in west virginia.', False)
('The panther is in the united states of america.', 'The panther is in west virginia.', False)
('The skunk is in the universe.', 'The skunk is in wisconsin.', False)
('The fly is in the milky way galaxy.', 'The fly is in wisconsin.', False)
('The pony is in our solar system.', 'The pony is in wisconsin.', False)
('The wren is on earth.', 'The wren is in wisconsin.', False)
('The fly is in north america.', 'The fly is in wisconsin.', False)
('The echidna is in the united states of america.', 'The echidna is in wisconsin.', False)
('The chicken is in the universe.', 'The chicken is in wyoming.', False)
('The pelican is in the milky way galaxy.', 'The pelican is in wyoming.', False)
('The porpoise is in our solar system.', 'The porpoise is in wyoming.', False)
('The mouse is on earth.', 'The mouse is in wyoming.', False)
('The goldfinch is in north america.', 'The goldfinch is in wyoming.', False)
('The jay is in the united states of america.', 'The jay is in wyoming.', False)
('The grasshopper is in the universe.', 'The grasshopper is in mexico.', False)
('The hare is in the milky way galaxy.', 'The hare is in mexico.', False)
('The toad is in our solar system.', 'The toad is in mexico.', False)
('The kudu is on earth.', 'The kudu is in mexico.', False)
('The sparrow is in north america.', 'The sparrow is in mexico.', False)
('The jackal is in the universe.', 'The jackal is in canada.', False)
('The squid is in the milky way galaxy.', 'The squid is in canada.', False)
('The anteater is in our solar system.', 'The anteater is in canada.', False)
('The monkey is on earth.', 'The monkey is in canada.', False)
